url,slug,coleccion,sesiones_organico,sesiones_pago,sesiones_otro,total
/calculadora-imc,calculadora-imc,calcs,20,4491,149,4660
/calculadora-actualizacion-alquiler-icl,calculadora-actualizacion-alquiler-icl,calcs,18,1999,35,2052
/calculadora-indemnizacion-despido,calculadora-indemnizacion-despido,calcs,11,1658,41,1710
/calculadora-aguinaldo-sac,calculadora-aguinaldo-sac,calcs,13,1059,50,1122
/calculadora-liquidacion-final-renuncia,calculadora-liquidacion-final-renuncia,calcs,32,596,24,652
/calculadora-sexo-bebe-tabla-china,calculadora-sexo-bebe-tabla-china,calcs,4,456,8,468
/dias-entre-dos-fechas,dias-entre-dos-fechas,calcs,3,424,27,454
/calculadora-edad-exacta,calculadora-edad-exacta,calcs,8,426,18,452
/calculadora-impuesto-ganancias-sueldo,calculadora-impuesto-ganancias-sueldo,calcs,55,358,37,450
/calculadora-actualizacion-inflacion-ipc,calculadora-actualizacion-inflacion-ipc,calcs,93,288,17,398
/conversor-moneda-dolar-peso-real-latam,conversor-moneda-dolar-peso-real-latam,calcs,0,348,6,354
/calculadora-art-indemnizacion-tabla-incapacidad-laboral-permanente,calculadora-art-indemnizacion-tabla-incapacidad-laboral-permanente,calcs,1,337,4,342
/cl/calculadora-finiquito-chile-completo-causal-despido,calculadora-finiquito-chile-completo-causal-despido,calcs-cl,3,285,16,304
/calculadora-imc-infantil-percentil,calculadora-imc-infantil-percentil,calcs,2,226,9,237
/calculadora-porcentajes,calculadora-porcentajes,calcs,3,217,13,233
/calculadora-costo-m2-construccion-argentina,calculadora-costo-m2-construccion-argentina,calcs,133,45,49,227
/mx/calculadora-liquidacion-despido-mexico-3-meses-12-dias,calculadora-liquidacion-despido-mexico-3-meses-12-dias,calcs-mx,0,210,1,211
/calculadora-embarazo,calculadora-embarazo,calcs,3,195,6,204
/calculadora-transfer-auto-costo-registro,calculadora-transfer-auto-costo-registro,calcs,11,178,13,202
/conversor-pulgadas-centimetros-metros,conversor-pulgadas-centimetros-metros,calcs,4,178,7,189
/co/calculadora-prima-legal-colombia-30-dias-junio-diciembre,calculadora-prima-legal-colombia-30-dias-junio-diciembre,calcs-co,15,168,2,185
/calculadora-dias-vacaciones-ley,calculadora-dias-vacaciones-ley,calcs,3,167,13,183
/calculadora-sueldo-neto-a-bruto,calculadora-sueldo-neto-a-bruto,calcs,10,155,14,179
/calculadora-conversor-fahrenheit-a-celsius-horno,calculadora-conversor-fahrenheit-a-celsius-horno,calcs,15,153,9,177
/mx/calculadora-finiquito-mexico-completo-rescision-relacion,calculadora-finiquito-mexico-completo-rescision-relacion,calcs-mx,7,163,3,173
/calculadora-costo-impresion-3d-pieza,calculadora-costo-impresion-3d-pieza,calcs,0,169,2,171
/mx/calculadora-finiquito-liquidacion-mexico,calculadora-finiquito-liquidacion-mexico,calcs-mx,5,159,6,170
/calculadora-interes-judicial-tasa,calculadora-interes-judicial-tasa,calcs,97,40,23,160
/co/calculadora-aportes-arl-colombia-empleador-empleado-riesgo,calculadora-aportes-arl-colombia-empleador-empleado-riesgo,calcs-co,139,0,7,146
/calculadora-millas-avianca-lifemiles,calculadora-millas-avianca-lifemiles,calcs,132,2,10,144
/calculadora-fondo-desempleo-anses-monto-tiempo,calculadora-fondo-desempleo-anses-monto-tiempo,calcs,4,129,8,141
/calculadora-antiguedad-laboral,calculadora-antiguedad-laboral,calcs,73,63,4,140
/calculadora-interes-compuesto,calculadora-interes-compuesto,calcs,6,120,11,137
/calculadora-gastos-escritura-compra-inmueble,calculadora-gastos-escritura-compra-inmueble,calcs,3,130,3,136
/calculadora-combustible-viaje-auto,calculadora-combustible-viaje-auto,calcs,53,76,6,135
/calculadora-conversor-metros-lineales-a-metros-cuadrados,calculadora-conversor-metros-lineales-a-metros-cuadrados,calcs,121,2,6,129
/mx/calculadora-prima-antiguedad-mexico,calculadora-prima-antiguedad-mexico,calcs-mx,97,0,27,124
/calculadora-plazo-fijo,calculadora-plazo-fijo,calcs,10,94,11,115
/co/calculadora-recargo-dominical-festivo-colombia-2026,calculadora-recargo-dominical-festivo-colombia-2026,calcs-co,102,0,12,114
/calculadora-ovulacion-dias-fertiles,calculadora-ovulacion-dias-fertiles,calcs,3,108,1,112
/calculadora-edad-perro-anos-humanos,calculadora-edad-perro-anos-humanos,calcs,2,104,2,108
/sueldo-en-mano-argentina,sueldo-en-mano-argentina,calcs,15,74,18,107
/calculadora-patente-auto-provincia,calculadora-patente-auto-provincia,calcs,17,82,5,104
/calculadora-cuota-alimentaria-hijos,calculadora-cuota-alimentaria-hijos,calcs,0,101,1,102
/calculadora-edad-exacta-anos-meses-dias-segundos,calculadora-edad-exacta-anos-meses-dias-segundos,calcs,2,84,10,96
/calculadora-edad-en-semanas,calculadora-edad-en-semanas,calcs,1,91,4,96
/calculadora-iva-incluido-neto-discriminar,calculadora-iva-incluido-neto-discriminar,calcs,2,89,5,96
/calculadora-indice-masa-corporal-pediatrico,calculadora-indice-masa-corporal-pediatrico,calcs,13,79,0,92
/calculadora-siembra-calendario-argentina-zona,calculadora-siembra-calendario-argentina-zona,calcs,6,84,0,90
/co/calculadora-impuesto-industria-comercio-ica-colombia-municipios,calculadora-impuesto-industria-comercio-ica-colombia-municipios,calcs-co,68,0,22,90
/calculadora-sueldo-empleada-domestica-horas-retiro,calculadora-sueldo-empleada-domestica-horas-retiro,calcs,0,87,1,88
/calculadora-cuota-alimentaria-estimacion,calculadora-cuota-alimentaria-estimacion,calcs,12,68,5,85
/calculadora-filtrado-glomerular-tfg-creatinina,calculadora-filtrado-glomerular-tfg-creatinina,calcs,3,81,1,85
/calculadora-metabolismo-basal-bmr-tdee,calculadora-metabolismo-basal-bmr-tdee,calcs,1,80,3,84
/calculadora-impuesto-renta-colombia-persona-natural-2026,calculadora-impuesto-renta-colombia-persona-natural-2026,calcs,65,1,12,78
/co/calculadora-gastos-notariales-registro-compraventa-2026,calculadora-gastos-notariales-registro-compraventa-2026,calcs-co,65,0,13,78
/calculadora-carne-asado-kg-por-persona,calculadora-carne-asado-kg-por-persona,calcs,6,68,3,77
/calculadora-paritaria-uocra-construccion-2026-categoria,calculadora-paritaria-uocra-construccion-2026-categoria,calcs,3,70,1,74
/calculadora-vacaciones-argentina,calculadora-vacaciones-argentina,calcs,5,66,3,74
/calculadora-bebidas-evento-litros-por-persona,calculadora-bebidas-evento-litros-por-persona,calcs,19,52,3,74
/calculadora-cuota-alimentos-porcentaje-sueldo-hijo,calculadora-cuota-alimentos-porcentaje-sueldo-hijo,calcs,1,64,6,71
/calculadora-liquidacion-final-empleada-casa-particular-despido-art-49,calculadora-liquidacion-final-empleada-casa-particular-despido-art-49,calcs,2,64,5,71
/calculadora-aleatorio-numero-dado,calculadora-aleatorio-numero-dado,calcs,2,68,0,70
/calculadora-retencion-ganancias-rg-830,calculadora-retencion-ganancias-rg-830,calcs,44,12,14,70
/calculadora-generacion-perteneces,calculadora-generacion-perteneces,calcs,25,32,12,69
/es/calculadora-convenio-hosteleria-espana-sueldo-2026-categoria,calculadora-convenio-hosteleria-espana-sueldo-2026-categoria,calcs-es,63,0,5,68
/calculadora-aguinaldo-empleada-casa-particular-medio-tiempo-categoria,calculadora-aguinaldo-empleada-casa-particular-medio-tiempo-categoria,calcs,0,62,4,66
/calculadora-edad-gato-humano-formula-anos,calculadora-edad-gato-humano-formula-anos,calcs,1,62,1,64
/calculadora-calendario-ovulacion-ciclo-menstrual,calculadora-calendario-ovulacion-ciclo-menstrual,calcs,1,61,2,64
/calculadora-proteina-diaria-objetivo,calculadora-proteina-diaria-objetivo,calcs,4,57,2,63
/calculadora-talla-sosten-corpino,calculadora-talla-sosten-corpino,calcs,6,52,1,59
/calculadora-costo-peaje-ruta,calculadora-costo-peaje-ruta,calcs,27,25,7,59
/calculadora-agua-diaria-necesaria,calculadora-agua-diaria-necesaria,calcs,1,54,3,58
/calculadora-calorias-diarias-tdee,calculadora-calorias-diarias-tdee,calcs,4,49,5,58
/calculadora-mundial-2026-predictor-campeon-ranking,calculadora-mundial-2026-predictor-campeon-ranking,calcs,19,36,2,57
/calculadora-presion-atmosferica-altitud-barometrica,calculadora-presion-atmosferica-altitud-barometrica,calcs,51,0,5,56
/calculadora-horas-extra,calculadora-horas-extra,calcs,6,46,3,55
/calculadora-ladrillos-por-m2-construccion,calculadora-ladrillos-por-m2-construccion,calcs,38,16,1,55
/calculadora-numeros-romanos-conversor,calculadora-numeros-romanos-conversor,calcs,0,54,0,54
/calculadora-sueldo-gastronomico-uthgra-mozo-cocinero,calculadora-sueldo-gastronomico-uthgra-mozo-cocinero,calcs,2,48,3,53
/calculadora-resistencia-codigo-colores-4-5-bandas,calculadora-resistencia-codigo-colores-4-5-bandas,calcs,1,50,1,52
/calculadora-peso-ideal-ninos,calculadora-peso-ideal-ninos,calcs,14,35,2,51
/calculadora-comprar-anos-aportes-moratoria-previsional-cuotas,calculadora-comprar-anos-aportes-moratoria-previsional-cuotas,calcs,0,49,2,51
/calculadora-sueldo-por-hora,calculadora-sueldo-por-hora,calcs,28,19,3,50
/calculadora-millas-latam-destino,calculadora-millas-latam-destino,calcs,46,3,1,50
/calculadora-jubilacion-minima-anses,calculadora-jubilacion-minima-anses,calcs,3,46,1,50
/mx/calculadora-placas-auto-costo-mexico,calculadora-placas-auto-costo-mexico,calcs-mx,44,0,6,50
/mx/calculadora-salario-diario-integrado-sdi-mexico,calculadora-salario-diario-integrado-sdi-mexico,calcs-mx,43,1,5,49
