fecha,inflacion_mensual_pct
1943-03-31,1.6
1943-04-30,0.7
1943-05-31,-0.9
1943-06-30,0.1
1943-07-31,-5.6
1943-08-31,1
1943-09-30,-0.9
1943-10-31,1
1943-11-30,0
1943-12-31,-0.3
1944-01-31,0.7
1944-02-29,0.2
1944-03-31,0.6
1944-04-30,-1.1
1944-05-31,-0.4
1944-06-30,1.8
1944-07-31,-0.1
1944-08-31,1.4
1944-09-30,-0.2
1944-10-31,0.7
1944-11-30,0
1944-12-31,0.2
1945-01-31,7.8
1945-02-28,1.9
1945-03-31,7.5
1945-04-30,0.1
1945-05-31,0.3
1945-06-30,0.1
1945-07-31,1.2
1945-08-31,-0.9
1945-09-30,0.6
1945-10-31,0.1
1945-11-30,0.2
1945-12-31,2.2
1946-01-31,7
1946-02-28,0.2
1946-03-31,2.9
1946-04-30,1.7
1946-05-31,-0.3
1946-06-30,1.7
1946-07-31,0.2
1946-08-31,-0.7
1946-09-30,0.1
1946-10-31,2.5
1946-11-30,0.4
1946-12-31,1.7
1947-01-31,-0.9
1947-02-28,0.7
1947-03-31,6.1
1947-04-30,0.1
1947-05-31,0.1
1947-06-30,4.7
1947-07-31,-1.1
1947-08-31,0.9
1947-09-30,0.1
1947-10-31,-0.5
1947-11-30,0.9
1947-12-31,3.2
1948-01-31,-1.6
1948-02-29,-0.3
1948-03-31,1.8
1948-04-30,0.6
1948-05-31,2.5
1948-06-30,2.9
1948-07-31,-0.2
1948-08-31,2.1
1948-09-30,4.1
1948-10-31,0.3
1948-11-30,0.2
1948-12-31,5.3
1949-01-31,0.5
1949-02-28,-0.3
1949-03-31,6.8
1949-04-30,4.9
1949-05-31,2.9
1949-06-30,1.2
1949-07-31,1.9
1949-08-31,1.7
1949-09-30,1.6
1949-10-31,2.7
1949-11-30,3.2
1949-12-31,2.4
1950-01-31,-1.8
1950-02-28,2.6
1950-03-31,0
1950-04-30,2.2
1950-05-31,4.8
1950-06-30,2.9
1950-07-31,0
1950-08-31,0.2
1950-09-30,4
