fecha,tasa_tna_pct
2026-08-14,21.69
2026-08-13,20.42
2026-08-12,20.04
2026-08-11,21.39
2026-08-10,20.67
2026-08-07,20.46
2026-08-06,20.55
2026-08-05,19.89
2026-08-04,21.45
2026-08-03,20.58
2026-07-31,19.76
2026-07-30,20.61
2026-07-29,20.39
2026-07-28,20.74
2026-07-27,19.59
2026-07-24,20.93
2026-07-23,21.07
2026-07-22,20.73
2026-07-21,20.57
2026-07-20,20.05
2026-07-17,20.14
2026-07-16,20.05
2026-07-15,21.39
2026-07-14,20.37
2026-07-13,19.64
2026-07-08,20.28
2026-07-07,20.27
2026-07-06,19.54
2026-07-03,20.2
2026-07-02,20.32
2026-07-01,19.85
2026-06-30,20.31
2026-06-29,20.11
2026-06-26,19.36
2026-06-25,19.8
2026-06-24,20.35
2026-06-23,20.24
2026-06-22,19.94
2026-06-19,19.63
2026-06-18,20.38
2026-06-17,19.66
2026-06-16,19.63
2026-06-12,19.15
2026-06-11,19.73
2026-06-10,19.41
2026-06-09,20.11
2026-06-08,19.96
2026-06-05,19.4
2026-06-04,20.39
2026-06-03,20.16
2026-06-02,21.19
2026-06-01,19.83
2026-05-29,20.01
2026-05-28,20.48
2026-05-27,19.6
2026-05-26,20.27
2026-05-22,20.38
2026-05-21,20.47
2026-05-20,20.21
2026-05-19,20.86
2026-05-18,19.85
2026-05-15,20.29
2026-05-14,19.94
2026-05-13,19.62
2026-05-12,20.84
2026-05-11,20.01
2026-05-08,20.07
2026-05-07,20.47
2026-05-06,20.16
2026-05-05,21.63
2026-05-04,20.44
2026-04-30,19.93
2026-04-29,20.71
2026-04-28,21.19
2026-04-27,20.05
2026-04-24,20.8
2026-04-23,21.25
2026-04-22,21.44
2026-04-21,21.47
2026-04-20,21
2026-04-17,21.44
2026-04-16,21.59
2026-04-15,21.66
2026-04-14,21.91
2026-04-13,21.3
2026-04-10,22.43
2026-04-09,23.23
2026-04-08,24.29
2026-04-07,24.52
2026-04-06,23.88
2026-04-01,24.38
2026-03-31,23.94
2026-03-30,24.55
2026-03-27,23.9
2026-03-26,25.1
2026-03-25,24.88
2026-03-20,24.97
2026-03-19,25.95
2026-03-18,26.31
2026-03-17,27.18
2026-03-16,27.39
2026-03-13,27.16
2026-03-12,27.81
2026-03-11,27.28
2026-03-10,28.27
2026-03-09,27.66
2026-03-06,27.5
2026-03-05,27.27
2026-03-04,27.37
2026-03-03,27.88
2026-03-02,28.08
2026-02-27,28.28
2026-02-26,29.12
2026-02-25,28.04
2026-02-24,31.82
2026-02-23,30.16
2026-02-20,30.75
2026-02-19,30.34
2026-02-18,28.91
2026-02-13,28.18
2026-02-12,28.04
2026-02-11,27.11
2026-02-10,28.63
2026-02-09,27.86
2026-02-06,28.52
2026-02-05,29.14
2026-02-04,28.51
2026-02-03,30.13
2026-02-02,28.21
2026-01-30,28.57
2026-01-29,28.62
2026-01-28,29.29
2026-01-27,31.28
2026-01-26,29.29
2026-01-23,33.06
2026-01-22,32.93
2026-01-21,30.67
2026-01-20,30.87
2026-01-19,30.02
2026-01-16,29.93
2026-01-15,29.88
2026-01-14,28.78
2026-01-13,28.56
2026-01-12,25.86
2026-01-09,26.37
2026-01-08,27.55
2026-01-07,28.43
2026-01-06,26.64
2026-01-05,25.64
2026-01-02,25.22
2025-12-30,25.46
2025-12-29,25.29
2025-12-26,25.38
2025-12-23,27.44
2025-12-22,26.04
2025-12-19,25.63
2025-12-18,25.12
2025-12-17,25
2025-12-16,24.92
2025-12-15,24.8
2025-12-12,24.24
2025-12-11,24.52
2025-12-10,24.73
2025-12-09,24.93
2025-12-05,25.56
2025-12-04,25.68
2025-12-03,26.47
2025-12-02,28.41
2025-12-01,28.06
2025-11-28,29.03
2025-11-27,29.06
2025-11-26,28.91
2025-11-25,29.32
2025-11-20,30.62
2025-11-19,31.19
2025-11-18,30.55
2025-11-17,30.27
2025-11-14,30.7
2025-11-13,30.97
2025-11-12,30.88
2025-11-11,32.73
2025-11-10,32.01
2025-11-07,33.05
2025-11-05,34.17
2025-11-04,35.94
2025-11-03,35.06
2025-10-31,37.49
2025-10-30,39.32
2025-10-29,40.91
2025-10-28,44.82
2025-10-27,43.3
2025-10-24,47.12
2025-10-23,47.06
2025-10-22,47.09
2025-10-21,48.77
2025-10-20,48.28
2025-10-17,49.45
2025-10-16,54.44
2025-10-15,51.47
2025-10-14,49.38
2025-10-13,45.44
2025-10-09,46.08
2025-10-08,41.85
2025-10-07,42.3
2025-10-06,39.98
2025-10-03,39.49
2025-10-02,39.93
2025-10-01,40.17
2025-09-30,37.67
2025-09-29,38.8
2025-09-26,37.78
2025-09-25,39.22
2025-09-24,43.22
2025-09-23,45.64
2025-09-22,43.72
2025-09-19,43.78
2025-09-18,43.89
2025-09-17,43.03
2025-09-16,43.34
2025-09-15,44.71
2025-09-12,45.42
2025-09-11,49.43
2025-09-10,51.16
2025-09-09,55.64
2025-09-08,53.62
2025-09-05,52.72
2025-09-04,56.06
2025-09-03,52.49
2025-09-02,53.62
2025-09-01,54.57
2025-08-29,53.63
2025-08-28,55.63
2025-08-27,51.16
2025-08-26,53.85
2025-08-25,49.04
2025-08-22,48.6
2025-08-21,50.19
2025-08-20,52.81
2025-08-19,54.02
2025-08-18,46.5
2025-08-14,44.81
2025-08-13,42.8
2025-08-12,44.6
2025-08-11,39.05
2025-08-08,40.2
2025-08-07,37.15
2025-08-06,37.51
2025-08-05,37.66
2025-08-04,36.77
2025-08-01,36.03
2025-07-31,35.02
2025-07-30,33.46
2025-07-29,33.96
2025-07-28,32.1
2025-07-25,32.69
2025-07-24,32.77
2025-07-23,31.9
2025-07-22,33.06
2025-07-21,31.11
2025-07-18,29.81
2025-07-17,29.5
