tramo,rendimiento_neto_min_eur_mes,rendimiento_neto_max_eur_mes,base_min_eur_mes,base_max_eur_mes,cuota_minima_mensual_eur
1,0,670,653.59,718.95,200.00
2,670,900,718.95,900.00,220.00
3,900,1166.70,849.67,1166.70,260.00
4,1166.70,1300,950.98,1300.00,290.00
5,1300,1500,960.78,1500.00,294.00
6,1500,1700,960.78,1700.00,294.00
7,1700,1850,1013.07,1850.00,310.00
8,1850,2030,1029.41,2030.00,315.00
9,2030,2330,1045.75,2330.00,320.00
10,2330,2760,1078.43,2760.00,330.00
11,2760,3190,1143.79,3190.00,350.00
12,3190,3620,1209.15,3620.00,370.00
13,3620,4050,1274.51,4050.00,390.00
14,4050,6000,1372.55,4139.40,420.00
15,6000,,1633.99,4139.40,500.00
