categoria,tope_facturacion_anual_ars,tope_facturacion_mensual_ars,cuota_mensual_servicios_ars,cuota_mensual_bienes_ars,superficie_max_m2,energia_max_kwh_anual
A,10277988.13,856499.01,42386.74,42386.74,30,3330
B,15058447.71,1254870.64,48250.78,48250.78,45,5000
C,21113696.52,1759474.71,56501.85,55227.06,60,6700
D,26212853.42,2184404.45,72414.1,70661.26,85,10000
E,30833964.37,2569497.03,102537.97,92658.35,110,13000
F,38642048.36,3220170.7,129045.32,111198.27,150,16500
G,46211109.37,3850925.78,197108.23,135918.34,200,20000
H,70113407.33,5842783.94,447346.93,272063.4,200,20000
I,78479211.62,6539934.3,824802.26,406512.05,200,20000
J,89872640.3,7489386.69,999007.65,497059.41,200,20000
K,108357084.05,9029757,1381687.9,600879.51,200,20000
