concepto,periodo,valor,unidad,fuente
SMVM mensual,2025-11,328400,ARS/mes,Resolucion 9/2025 CNEPySMVyM
SMVM mensual,2025-12,334800,ARS/mes,Resolucion 9/2025 CNEPySMVyM
SMVM mensual,2026-01,341000,ARS/mes,Resolucion 9/2025 CNEPySMVyM
SMVM mensual,2026-02,346800,ARS/mes,Resolucion 9/2025 CNEPySMVyM
SMVM mensual,2026-03,352400,ARS/mes,Resolucion 9/2025 CNEPySMVyM
SMVM mensual,2026-04,357800,ARS/mes,Resolucion 9/2025 CNEPySMVyM
SMVM mensual,2026-05,363000,ARS/mes,Resolucion 9/2025 CNEPySMVyM
SMVM mensual,2026-06,367800,ARS/mes,Resolucion 9/2025 CNEPySMVyM
SMVM mensual,2026-07,372400,ARS/mes,Resolucion 9/2025 CNEPySMVyM
SMVM mensual,2026-08,376600,ARS/mes,Resolucion 9/2025 CNEPySMVyM
SMVM por hora (jornalizados),2026-08,1883,ARS/hora,Resolucion 9/2025 CNEPySMVyM (mensual/200)
SMVM por dia (jornada 8 h),2026-08,15064,ARS/dia,hora x 8
Seguro de desempleo - piso,vigente,181500,ARS/mes,ANSES (Ley 24.013)
Seguro de desempleo - techo,vigente,363000,ARS/mes,ANSES (Ley 24.013)
