concepto,valor_2026,unidad,fuente
Salario minimo (SMLMV),1750905,COP/mes,Decreto transitorio 0159/2026
Salario minimo diario (SMDLV),58363.5,COP/dia,Decreto transitorio 0159/2026
Auxilio de transporte,249095,COP/mes (hasta 2 SMLMV),Decreto 1470/2025
SMLMV + auxilio de transporte,2000000,COP/mes,
UVT 2026,52374,COP,DIAN Resolucion 000238/2025
UVT 2025 (declaracion 2025),49799,COP,DIAN
Jornada (hasta 14-jul-2026),44,horas/semana,Ley 2101/2021
Jornada (desde 15-jul-2026),42,horas/semana,Ley 2101/2021
Recargo nocturno,35,%,Art. 168 CST
Hora extra diurna,25,%,CST
Hora extra nocturna,75,%,CST
Dominical/festivo (hasta 30-jun-2026),80,%,Ley 2466/2025
Dominical/festivo (desde 01-jul-2026),90,%,Ley 2466/2025
Intereses sobre cesantias,12,% anual,CST
Vacaciones,15,dias habiles/ano,CST
