concepto,valor_2026,unidad,fuente
Salario minimo general (diario),315.04,MXN/dia,CONASAMI/DOF
Salario minimo general (mensual),9582.47,MXN/mes,315.04 x 365 / 12
Salario minimo ZLFN (diario),440.87,MXN/dia,CONASAMI/DOF
Salario minimo ZLFN (mensual),13407.30,MXN/mes,440.87 x 365 / 12
UMA diaria,117.31,MXN,INEGI/DOF (desde 01-feb-2026)
UMA mensual,3566.22,MXN,INEGI/DOF
UMA anual,42794.64,MXN,INEGI/DOF
Aguinaldo (minimo),15,dias de salario,LFT Art. 87
Prima vacacional (minimo),25,%,LFT Art. 80
Vacaciones (primer ano),12,dias,LFT Art. 76 (reforma 2023)
Prima de antiguedad,12,dias por ano,LFT Art. 162
