concepto,quien_paga,valor_2026,unidad,fuente
AFP (fondo de pensiones),trabajador,10.0,% sobre imponible,DL 3.500
AFP (comision administradora),trabajador,0.49-1.45,% sobre imponible (varia por AFP),DL 3.500
Salud (Fonasa),trabajador,7.0,% sobre imponible,Ley 18.469
Seguro de cesantia (contrato indefinido),trabajador,0.6,% sobre imponible,Ley 19.728
Seguro de cesantia (contrato indefinido),empleador,2.4,% sobre imponible,Ley 19.728
Seguro de cesantia (plazo fijo),empleador,3.0,% sobre imponible,Ley 19.728
Ingreso minimo mensual (IMM),referencia,539000,CLP/mes,Ley 21.751
Tope imponible AFP/salud,referencia,90.0,UF,Superintendencia de Pensiones
Tope imponible seguro de cesantia,referencia,135.2,UF,Superintendencia de Pensiones
Impuesto unico 2da categoria (exento hasta),referencia,13.5,UTM/mes,Art. 43 N1 LIR
Impuesto unico 2da categoria (tasa maxima),referencia,40.0,%,Art. 43 N1 LIR
Gratificacion legal (Art. 50),empleador,25.0,% devengado (tope 4.75 IMM/ano),Codigo del Trabajo
IVA,consumidor,19.0,%,DL 825
