concepto,quien_paga,valor_2026,unidad,fuente
Remuneracion Minima Vital (RMV),referencia,1130,PEN/mes,DS 006-2024-TR
UIT,referencia,5500,PEN,DS 301-2025-EF
IGV (tasa general),consumidor,18,%,16% IGV + 2% IPM
IGV especial MYPE restaurantes/hoteles,consumidor,10.5,%,desde 2026
Asignacion familiar,empleador,113,PEN/mes (10% RMV),con hijos menores
ONP (pension),trabajador,13,% sobre remuneracion,Ley ONP
AFP (total aprox),trabajador,12.5,% (fondo 10% + prima + comision),Ley AFP
Essalud,empleador,9,% sobre remuneracion,no se descuenta de la boleta
Renta 5ta categoria (exento),trabajador,38500,PEN/ano (7 UIT),LIR
Renta 5ta - tramo hasta 5 UIT,trabajador,8,%,LIR
Renta 5ta - tramo 5 a 20 UIT,trabajador,14,%,LIR
Renta 5ta - tramo 20 a 35 UIT,trabajador,17,%,LIR
Renta 5ta - tramo 35 a 45 UIT,trabajador,20,%,LIR
Renta 5ta - mas de 45 UIT,trabajador,30,%,LIR
