slug,country,ymyl,professionalReviewer,editorialState,decision
"calculadora-1rm-press-banca-estimador","AR","MODERATE","","draft","MERGE_301"
"calculadora-1rm-sentadilla-estimador","AR","MODERATE","","automated_tested","KEEP"
"a-que-hora-acostarme","AR","MODERATE","","automated_tested","KEEP"
"calculadora-abl-expensas-quien-paga-inquilino-propietario","AR","MODERATE","","automated_tested","KEEP"
"calculadora-adolescente-estatura-final-prediccion-edad-huesos","AR","MODERATE","","draft","MERGE_301"
"calculadora-agua-cafe-te-hidratacion-real-mitos","AR","MODERATE","","draft","MERGE_301"
"calculadora-aguinaldo-mexico-2026","AR","MODERATE","","automated_tested","KEEP"
"calculadora-aguinaldo-sac","AR","MODERATE","","automated_tested","KEEP"
"calculadora-ahorro-compuesto-tiempo-duplicar-regla-72","AR","MODERATE","","automated_tested","KEEP"
"calculadora-ahorro-hormiga-gasto-diario","AR","MODERATE","","automated_tested","KEEP"
"calculadora-ahorro-meta-mensual","AR","MODERATE","","automated_tested","KEEP"
"calculadora-ahorro-objetivo-mensual","AR","MODERATE","","draft","MERGE_301"
"calculadora-ajuste-sueldo-inflacion","AR","MODERATE","","automated_tested","KEEP"
"calculadora-alcohol-sangre-bac","AR","MODERATE","","automated_tested","KEEP"
"calculadora-alimentacion-complementaria","AR","HIGH","","draft","DRAFT"
"calculadora-alquiler-con-opcion-a-compra-leasing-inmueble","AR","MODERATE","","automated_tested","KEEP"
"calculadora-actualizacion-alquiler-icl","AR","MODERATE","","automated_tested","KEEP"
"calculadora-alquiler-vs-comprar","AR","MODERATE","","automated_tested","KEEP"
"calculadora-amortizacion-prestamo-frances-aleman","AR","MODERATE","","automated_tested","KEEP"
"calculadora-anses-complemento-leche-maternidad","AR","MODERATE","","draft","MERGE_301"
"calculadora-arba-sellos-inmobiliarios-pba-compraventa","AR","MODERATE","","automated_tested","KEEP"
"calculadora-arena-sanitaria-gato-kg-mes","AR","MODERATE","","automated_tested","KEEP"
"calculadora-asignacion-desempleo-seguro-prestacion-anses","AR","MODERATE","","automated_tested","KEEP"
"calculadora-asignacion-discapacidad-pensionado","AR","MODERATE","","automated_tested","KEEP"
"calculadora-asignacion-familiar-empleado-registrado-anses","AR","MODERATE","","automated_tested","KEEP"
"calculadora-aumento-alquiler-trimestral-cuatrimestral-semestral","AR","MODERATE","","automated_tested","KEEP"
"calculadora-aumento-altura-adolescente-prediccion","AR","MODERATE","","automated_tested","KEEP"
"calculadora-autonomos-categoria-monto-2026","AR","MODERATE","","automated_tested","KEEP"
"calculadora-ayuda-escolar-anual-asignacion","AR","MODERATE","","automated_tested","KEEP"
"calculadora-ayuno-intermitente-16-8-ventana-horario","AR","MODERATE","","automated_tested","KEEP"
"calculadora-ayuno-intermitente-beneficios-calorias-20-4","AR","MODERATE","","automated_tested","KEEP"
"calculadora-azucares-anadidos-diarios-oms-mg-gramos","AR","MODERATE","","draft","MERGE_301"
"calculadora-becas-manuel-belgrano-monto","AR","MODERATE","","automated_tested","KEEP"
"calculadora-bienes-personales-tramos-alicuota-2026","AR","MODERATE","","automated_tested","KEEP"
"calculadora-bienes-personales-2026","AR","MODERATE","","automated_tested","KEEP"
"calculadora-bitcoin-halving-2028-proyeccion","AR","MODERATE","","draft","MERGE_301"
"calculadora-bonos-al30-al35-al41-rendimiento-anual","AR","MODERATE","","draft","MERGE_301"
"calculadora-bonos-globales-al30-gd30-rendimiento","AR","MODERATE","","automated_tested","KEEP"
"calculadora-bonus-anual-marco-fiscal-neto","AR","MODERATE","","automated_tested","KEEP"
"calculadora-cafeina-dosis-rendimiento","AR","HIGH","","draft","DRAFT"
"calculadora-cafeina-dosis-segura-diaria-peso","AR","HIGH","","draft","DRAFT"
"calculadora-caja-seguridad-banco-comparativa-mensual","AR","MODERATE","","automated_tested","KEEP"
"calculadora-calcio-diario-edad-lactancia-menopausia","AR","HIGH","","draft","DRAFT"
"calculadora-acidez-orina-alimentos","AR","MODERATE","","automated_tested","KEEP"
"calculadora-agua-pez-betta-litros","AR","MODERATE","","automated_tested","KEEP"
"calculadora-aguinaldo-empleada-casa-particular-medio-tiempo-categoria","AR","MODERATE","","automated_tested","KEEP"
"calculadora-aguinaldo-empleado-mensual-quincenal-vs-quincena","AR","MODERATE","","draft","MERGE_301"
