url_a,url_b,country,cluster,title_similarity,h1_similarity,slug_similarity,formula_similarity,input_similarity,query_overlap,recommended_action,reason
https://hacecuentas.com/calculadora-1rm-press-banca-estimador,https://hacecuentas.com/calculadora-1rm-sentadilla-estimador,AR,sports_non_medical,0.13,0.13,0.40,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-calorias-saltar-cuerda-minutos,https://hacecuentas.com/calculadora-calorias-remo-indoor-ergometro,AR,sports_non_medical,0.33,0.20,0.14,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-calorias-quemadas-deporte,https://hacecuentas.com/calculadora-calorias-ski-snowboard-montana,AR,sports_non_medical,0.09,0.29,0.17,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-plan-entrenamiento-21k-semi-maraton-semanas,https://hacecuentas.com/calculadora-plan-entrenamiento-5k-semanas,AR,sports_non_medical,0.20,0.20,0.43,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-plan-entrenamiento-21k-semi-maraton-semanas,https://hacecuentas.com/calculadora-plan-entrenamiento-maraton-42k-semanas,AR,sports_non_medical,0.20,0.18,0.57,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-plan-entrenamiento-5k-semanas,https://hacecuentas.com/calculadora-plan-entrenamiento-maraton-42k-semanas,AR,sports_non_medical,0.43,0.40,0.50,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-fructosa-malabsorcion,https://hacecuentas.com/calculadora-lactosa-alimento-intolerancia,AR,health_low_risk,0.13,0.08,0.00,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-fructosa-malabsorcion,https://hacecuentas.com/calculadora-oxalatos-calculos-renales,AR,health_low_risk,0.29,0.29,0.00,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-indice-glucemico-por-alimento,https://hacecuentas.com/calculadora-indice-saciedad-alimento,AR,health_low_risk,0.33,0.11,0.50,1.00,1.00,DATA_MISSING,DIFFERENTIATE,"fórmula parecida pero difieren en régimen/bruto-neto/período/rol → diferenciar, NO redirigir"
https://hacecuentas.com/calculadora-indice-glucemico-por-alimento,https://hacecuentas.com/calculadora-pH-alimento-alcalinidad,AR,health_low_risk,0.33,0.00,0.20,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-indice-saciedad-alimento,https://hacecuentas.com/calculadora-pH-alimento-alcalinidad,AR,health_low_risk,0.14,0.13,0.20,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-lactosa-alimento-intolerancia,https://hacecuentas.com/calculadora-oxalatos-calculos-renales,AR,health_low_risk,0.14,0.09,0.00,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-macros-mediterranea,https://hacecuentas.com/calculadora-macros-paleo-dieta,AR,health_low_risk,0.25,0.40,0.25,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-angel-guardian-fecha,https://hacecuentas.com/calculadora-biorhythm,AR,utilities,0.40,0.00,0.00,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-que-generacion-sos,https://hacecuentas.com/calculadora-generacion-perteneces,AR,utilities,0.20,0.25,0.25,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-deep-work-cal-newport-horas-maximo-diario,https://hacecuentas.com/calculadora-scrum-sprint-velocity-story-points,AR,utilities,0.00,0.00,0.00,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-deep-work-cal-newport-horas-maximo-diario,https://hacecuentas.com/calculadora-smart-goals-objetivos-metodologia-meta,AR,utilities,0.00,0.00,0.00,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-dia-nacimiento-semana,https://hacecuentas.com/calculadora-edad-en-dias,AR,utilities,0.13,0.00,0.00,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-dia-nacimiento-semana,https://hacecuentas.com/calculadora-edad-planeta,AR,utilities,0.13,0.00,0.00,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-edad-en-dias,https://hacecuentas.com/calculadora-edad-planeta,AR,utilities,0.33,0.20,0.33,1.00,1.00,DATA_MISSING,DIFFERENTIATE,"fórmula parecida pero difieren en régimen/bruto-neto/período/rol → diferenciar, NO redirigir"
https://hacecuentas.com/calculadora-edad-en-semanas,https://hacecuentas.com/calculadora-fecha-10000-dias,AR,utilities,0.08,0.09,0.00,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-scrum-sprint-velocity-story-points,https://hacecuentas.com/calculadora-smart-goals-objetivos-metodologia-meta,AR,utilities,0.00,0.00,0.00,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-conversion-torque-nm-lb-ft-kgm,https://hacecuentas.com/calculadora-presion-neumatico-psi-bar-auto,AR,automotive,0.17,0.08,0.00,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-conversor-btu-a-joules,https://hacecuentas.com/calculadora-conversor-calorias-a-joules,AR,statistics,0.22,0.17,0.50,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-conversor-btu-a-joules,https://hacecuentas.com/calculadora-conversor-celsius-a-kelvin,AR,statistics,0.00,0.00,0.20,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-conversor-btu-a-joules,https://hacecuentas.com/calculadora-conversor-kw-a-hp,AR,statistics,0.29,0.00,0.20,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-conversor-btu-a-joules,https://hacecuentas.com/calculadora-conversor-kwh-a-joules,AR,statistics,0.60,0.25,0.50,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-conversor-btu-a-joules,https://hacecuentas.com/calculadora-conversor-micrometros-a-milimetros,AR,statistics,0.11,0.00,0.20,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-conversor-btu-a-joules,https://hacecuentas.com/calculadora-conversor-milisegundos-a-segundos,AR,statistics,0.11,0.00,0.20,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-conversor-btu-a-joules,https://hacecuentas.com/calculadora-conversor-psi-a-bar,AR,statistics,0.00,0.00,0.20,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-conversor-calorias-a-joules,https://hacecuentas.com/calculadora-conversor-celsius-a-kelvin,AR,statistics,0.09,0.00,0.20,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-conversor-calorias-a-joules,https://hacecuentas.com/calculadora-conversor-kw-a-hp,AR,statistics,0.09,0.11,0.20,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
https://hacecuentas.com/calculadora-conversor-calorias-a-joules,https://hacecuentas.com/calculadora-conversor-kwh-a-joules,AR,statistics,0.22,0.33,0.50,1.00,1.00,DATA_MISSING,MANUAL_REVIEW,alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano
