url_a,url_b,cluster,formula_similarity,input_similarity,recommended_action,reason
https://hacecuentas.com/calculadora-1rm-press-banca-estimador,https://hacecuentas.com/calculadora-1rm-sentadilla-estimador,sports_non_medical,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-calorias-saltar-cuerda-minutos,https://hacecuentas.com/calculadora-calorias-remo-indoor-ergometro,sports_non_medical,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-calorias-quemadas-deporte,https://hacecuentas.com/calculadora-calorias-ski-snowboard-montana,sports_non_medical,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-plan-entrenamiento-21k-semi-maraton-semanas,https://hacecuentas.com/calculadora-plan-entrenamiento-5k-semanas,sports_non_medical,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-plan-entrenamiento-21k-semi-maraton-semanas,https://hacecuentas.com/calculadora-plan-entrenamiento-maraton-42k-semanas,sports_non_medical,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-plan-entrenamiento-5k-semanas,https://hacecuentas.com/calculadora-plan-entrenamiento-maraton-42k-semanas,sports_non_medical,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-fructosa-malabsorcion,https://hacecuentas.com/calculadora-lactosa-alimento-intolerancia,health_low_risk,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-fructosa-malabsorcion,https://hacecuentas.com/calculadora-oxalatos-calculos-renales,health_low_risk,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-indice-glucemico-por-alimento,https://hacecuentas.com/calculadora-indice-saciedad-alimento,health_low_risk,1.00,1.00,DIFFERENTIATE,"fórmula parecida pero difieren en régimen/bruto-neto/período/rol → diferenciar, NO redirigir"
https://hacecuentas.com/calculadora-indice-glucemico-por-alimento,https://hacecuentas.com/calculadora-pH-alimento-alcalinidad,health_low_risk,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-indice-saciedad-alimento,https://hacecuentas.com/calculadora-pH-alimento-alcalinidad,health_low_risk,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-lactosa-alimento-intolerancia,https://hacecuentas.com/calculadora-oxalatos-calculos-renales,health_low_risk,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-macros-mediterranea,https://hacecuentas.com/calculadora-macros-paleo-dieta,health_low_risk,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-angel-guardian-fecha,https://hacecuentas.com/calculadora-biorhythm,utilities,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-que-generacion-sos,https://hacecuentas.com/calculadora-generacion-perteneces,utilities,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-deep-work-cal-newport-horas-maximo-diario,https://hacecuentas.com/calculadora-scrum-sprint-velocity-story-points,utilities,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-deep-work-cal-newport-horas-maximo-diario,https://hacecuentas.com/calculadora-smart-goals-objetivos-metodologia-meta,utilities,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-dia-nacimiento-semana,https://hacecuentas.com/calculadora-edad-en-dias,utilities,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-dia-nacimiento-semana,https://hacecuentas.com/calculadora-edad-planeta,utilities,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-edad-en-dias,https://hacecuentas.com/calculadora-edad-planeta,utilities,1.00,1.00,DIFFERENTIATE,"fórmula parecida pero difieren en régimen/bruto-neto/período/rol → diferenciar, NO redirigir"
https://hacecuentas.com/calculadora-edad-en-semanas,https://hacecuentas.com/calculadora-fecha-10000-dias,utilities,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-scrum-sprint-velocity-story-points,https://hacecuentas.com/calculadora-smart-goals-objetivos-metodologia-meta,utilities,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-conversion-torque-nm-lb-ft-kgm,https://hacecuentas.com/calculadora-presion-neumatico-psi-bar-auto,automotive,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-conversor-btu-a-joules,https://hacecuentas.com/calculadora-conversor-calorias-a-joules,statistics,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-conversor-btu-a-joules,https://hacecuentas.com/calculadora-conversor-celsius-a-kelvin,statistics,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-conversor-btu-a-joules,https://hacecuentas.com/calculadora-conversor-kw-a-hp,statistics,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-conversor-btu-a-joules,https://hacecuentas.com/calculadora-conversor-kwh-a-joules,statistics,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
https://hacecuentas.com/calculadora-conversor-btu-a-joules,https://hacecuentas.com/calculadora-conversor-micrometros-a-milimetros,statistics,1.00,1.00,MANUAL_REVIEW,"alta similitud (formula=1.00 input=1.00) pero sin evidencia de merge — revisar a mano"
