url,type,cluster,country,title,source_file,formula_status,example_status,internal_links_in,sitemap,indexable,qa_status
/calculadora-carbon-asado-kg,calculadora,cocina-eventos,AR,Calculadora de carbon para un asado,src/content/calcs/carbon-asado-kg.json + src/lib/formulas/carbon-asado-kg.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-pan-para-comida-evento,calculadora,cocina-eventos,AR,Calculadora de pan para una comida,src/content/calcs/pan-para-comida-evento.json + src/lib/formulas/pan-para-comida-evento.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-ensalada-por-persona,calculadora,cocina-eventos,AR,Calculadora de ensalada por persona,src/content/calcs/ensalada-por-persona.json + src/lib/formulas/ensalada-por-persona.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-cafe-para-evento,calculadora,cocina-eventos,AR,Calculadora de cafe para un evento,src/content/calcs/cafe-para-evento.json + src/lib/formulas/cafe-para-evento.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-pollo-por-persona,calculadora,cocina-eventos,AR,Calculadora de pollo por persona,src/content/calcs/pollo-por-persona.json + src/lib/formulas/pollo-por-persona.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-milanesas-por-persona,calculadora,cocina-eventos,AR,Calculadora de milanesas por persona,src/content/calcs/milanesas-por-persona.json + src/lib/formulas/milanesas-por-persona.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-hielo-para-fiesta,calculadora,fin-de-semana-vida,AR,Calculadora de hielo para una fiesta,src/content/calcs/hielo-para-fiesta.json + src/lib/formulas/hielo-para-fiesta.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-mate-yerba-para-ronda,calculadora,fin-de-semana-vida,AR,Calculadora de yerba para una ronda de mate,src/content/calcs/mate-yerba-para-ronda.json + src/lib/formulas/mate-yerba-para-ronda.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-vajilla-descartable-fiesta,calculadora,fin-de-semana-vida,AR,Calculadora de vajilla descartable para fiesta,src/content/calcs/vajilla-descartable-fiesta.json + src/lib/formulas/vajilla-descartable-fiesta.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-facturas-por-persona-desayuno,calculadora,fin-de-semana-vida,AR,Calculadora de facturas y medialunas por persona,src/content/calcs/facturas-por-persona-desayuno.json + src/lib/formulas/facturas-por-persona-desayuno.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-sandwiches-miga-por-persona,calculadora,fin-de-semana-vida,AR,Calculadora de sandwiches de miga por persona,src/content/calcs/sandwiches-miga-por-persona.json + src/lib/formulas/sandwiches-miga-por-persona.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-brochetas-por-invitado,calculadora,fin-de-semana-vida,AR,Calculadora de brochetas por invitado,src/content/calcs/brochetas-por-invitado.json + src/lib/formulas/brochetas-por-invitado.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-tierra-jardin-cantero-m3,calculadora,construccion-hogar,AR,Calculadora de tierra para jardin o cantero,src/content/calcs/tierra-jardin-cantero-m3.json + src/lib/formulas/tierra-jardin-cantero-m3.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-machimbre-revestimiento-m2,calculadora,construccion-hogar,AR,Calculadora de machimbre para revestimiento,src/content/calcs/machimbre-revestimiento-m2.json + src/lib/formulas/machimbre-revestimiento-m2.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-pintura-rejas-metal-litros,calculadora,construccion-hogar,AR,Calculadora de pintura para rejas y metal,src/content/calcs/pintura-rejas-metal-litros.json + src/lib/formulas/pintura-rejas-metal-litros.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-adoquines-m2,calculadora,construccion-hogar,AR,Calculadora de adoquines por m2,src/content/calcs/adoquines-m2.json + src/lib/formulas/adoquines-m2.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-contrapiso-m3,calculadora,construccion-hogar,AR,Calculadora de contrapiso (m3 y materiales),src/content/calcs/contrapiso-m3.json + src/lib/formulas/contrapiso-m3.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-venecitas-mosaico-m2,calculadora,construccion-hogar,AR,Calculadora de venecitas y mosaico por m2,src/content/calcs/venecitas-mosaico-m2.json + src/lib/formulas/venecitas-mosaico-m2.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-garrafa-gas-duracion,calculadora,construccion-hogar,AR,Calculadora de duracion de una garrafa de gas,src/content/calcs/garrafa-gas-duracion.json + src/lib/formulas/garrafa-gas-duracion.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-lena-estufa-hogar-invierno,calculadora,construccion-hogar,AR,Calculadora de lena para estufa en invierno,src/content/calcs/lena-estufa-hogar-invierno.json + src/lib/formulas/lena-estufa-hogar-invierno.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-pintura-pileta-piscina-m2,calculadora,construccion-hogar,AR,Calculadora de pintura para pileta o piscina,src/content/calcs/pintura-pileta-piscina-m2.json + src/lib/formulas/pintura-pileta-piscina-m2.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-noches-hospedaje-costo,calculadora,viajes-automotor,AR,Calculadora de noches de hospedaje,src/content/calcs/noches-hospedaje-costo.json + src/lib/formulas/noches-hospedaje-costo.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-tiempo-viaje-con-paradas,calculadora,viajes-automotor,AR,Calculadora de tiempo de viaje con paradas,src/content/calcs/tiempo-viaje-con-paradas.json + src/lib/formulas/tiempo-viaje-con-paradas.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-alquiler-auto-costo-dias,calculadora,viajes-automotor,AR,Calculadora de alquiler de auto por dias,src/content/calcs/alquiler-auto-costo-dias.json + src/lib/formulas/alquiler-auto-costo-dias.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-nafta-mensual-commute,calculadora,viajes-automotor,AR,Calculadora de nafta mensual para ir al trabajo,src/content/calcs/nafta-mensual-commute.json + src/lib/formulas/nafta-mensual-commute.ts,ok,verified,hub finde + categoria + calcs hermanas + guia/comparacion,yes,yes,pass
/calculadora-porcentaje-de-ahorro,calculadora,finanzas,AR,Calculadora de porcentaje de ahorro,src/content/calcs/porcentaje-de-ahorro.json + src/lib/formulas/porcentaje-de-ahorro.ts,ok,verified,categoria finanzas + guia fondo-emergencia + related-auto + hermanas,yes,yes,pass
/calculadora-cuanto-ahorrar-dia-semana-meta,calculadora,finanzas,AR,Calculadora de cuanto ahorrar por dia o semana para una meta,src/content/calcs/cuanto-ahorrar-dia-semana-meta.json + src/lib/formulas/cuanto-ahorrar-dia-semana-meta.ts,ok,verified,categoria finanzas + guia fondo-emergencia + comparacion + hermanas,yes,yes,pass
/calculadora-costo-por-unidad,calculadora,mate-educacion-negocios,AR,Calculadora de costo por unidad,src/content/calcs/costo-por-unidad.json + src/lib/formulas/costo-por-unidad.ts,ok,verified,categoria negocios + guia matematicas-ciencias + related-auto + hermanas,yes,yes,pass
/calculadora-regla-tres-compuesta,calculadora,mate-educacion-negocios,AR,Calculadora de regla de tres compuesta,src/content/calcs/regla-tres-compuesta.json + src/lib/formulas/regla-tres-compuesta.ts,ok,verified,categoria matematica + guia matematicas-ciencias + hermanas,yes,yes,pass
/calculadora-escala-plano-mapa,calculadora,mate-educacion-negocios,AR,Calculadora de escala de plano o mapa,src/content/calcs/escala-plano-mapa.json + src/lib/formulas/escala-plano-mapa.ts,ok,verified,categoria matematica + guia matematicas-ciencias + hermanas,yes,yes,pass
/calculadora-operaciones-con-fracciones,calculadora,mate-educacion-negocios,AR,Calculadora de operaciones con fracciones,src/content/calcs/operaciones-con-fracciones.json + src/lib/formulas/operaciones-con-fracciones.ts,ok,verified,categoria matematica + guia matematicas-ciencias + hermanas,yes,yes,pass
/fin-de-semana,hub-indice,fin-de-semana-vida,AR,Fin de semana (indice de hubs),src/pages/fin-de-semana/index.astro,n/a,n/a,hub general + footer + 4 sub-hubs enlazan de vuelta,yes,yes,pass
/fin-de-semana/comida-y-juntadas,hub,fin-de-semana-vida,AR,Fin de semana: comida y juntadas,src/lib/fin-de-semana-hubs.ts + src/pages/fin-de-semana/comida-y-juntadas.astro,n/a,n/a,indice /fin-de-semana + hub general /calculadoras-fin-de-semana + footer + hubs hermanos,yes,yes,pass
/fin-de-semana/fiestas-y-reuniones,hub,fin-de-semana-vida,AR,Fin de semana: fiestas y reuniones,src/lib/fin-de-semana-hubs.ts + src/pages/fin-de-semana/fiestas-y-reuniones.astro,n/a,n/a,indice /fin-de-semana + hub general /calculadoras-fin-de-semana + footer + hubs hermanos,yes,yes,pass
/fin-de-semana/escapadas,hub,viajes-automotor,AR,Fin de semana: escapadas,src/lib/fin-de-semana-hubs.ts + src/pages/fin-de-semana/escapadas.astro,n/a,n/a,indice /fin-de-semana + hub general /calculadoras-fin-de-semana + footer + hubs hermanos,yes,yes,pass
/fin-de-semana/proyectos-en-casa,hub,construccion-hogar,AR,Fin de semana: proyectos en casa,src/lib/fin-de-semana-hubs.ts + src/pages/fin-de-semana/proyectos-en-casa.astro,n/a,n/a,indice /fin-de-semana + hub general /calculadoras-fin-de-semana + footer + hubs hermanos,yes,yes,pass
/guia/comida-reunion-cuanto-comprar,guia,cocina-eventos,AR,Como calcular cuanta comida comprar para una reunion,src/content/guias/comida-reunion-cuanto-comprar.json,n/a,n/a,indice /guias + guias hermanas + hub finde,yes,yes,pass
/guia/presupuesto-fiesta-como-armar,guia,fin-de-semana-vida,AR,Como armar un presupuesto para una fiesta,src/content/guias/presupuesto-fiesta-como-armar.json,n/a,n/a,indice /guias + guias hermanas + hub finde,yes,yes,pass
/guia/dividir-gastos-amigos-sin-errores,guia,fin-de-semana-vida,AR,Como dividir gastos entre amigos sin equivocarse,src/content/guias/dividir-gastos-amigos-sin-errores.json,n/a,n/a,indice /guias + guias hermanas + hub finde,yes,yes,pass
/guia/presupuesto-viaje-completo,guia,viajes-automotor,AR,Como calcular el presupuesto completo de un viaje,src/content/guias/presupuesto-viaje-completo.json,n/a,n/a,indice /guias + guias hermanas + hub finde,yes,yes,pass
/guia/combustible-peajes-costo-por-persona-viaje,guia,viajes-automotor,AR,"Como calcular combustible, peajes y costo por persona",src/content/guias/combustible-peajes-costo-por-persona-viaje.json,n/a,n/a,indice /guias + guias hermanas + hub finde,yes,yes,pass
/guia/pintar-casa-materiales-litros,guia,fin-de-semana-vida,AR,Como calcular materiales para pintar una casa,src/content/guias/pintar-casa-materiales-litros.json,n/a,n/a,indice /guias + guias hermanas + hub finde,yes,yes,pass
/guia/estimar-materiales-construccion-sin-comprar-de-mas,guia,fin-de-semana-vida,AR,Como estimar materiales de construccion sin comprar de mas,src/content/guias/estimar-materiales-construccion-sin-comprar-de-mas.json,n/a,n/a,indice /guias + guias hermanas + hub finde,yes,yes,pass
/guia/fondo-emergencia-como-calcular,guia,finanzas,AR,Como calcular un fondo de emergencia,src/content/guias/fondo-emergencia-como-calcular.json,n/a,n/a,indice /guias + guias hermanas + hub finde,yes,yes,pass
/comparar/auto-vs-transporte-publico-vacaciones,comparacion,viajes-automotor,AR,Conviene viajar en auto o en transporte publico,src/content/comparaciones/auto-vs-transporte-publico-vacaciones.json,n/a,n/a,anillo otras-comparaciones (6) + hub finde / guia,yes,yes,pass
/comparar/pagar-contado-vs-cuotas,comparacion,finanzas,AR,Conviene pagar al contado o en cuotas,src/content/comparaciones/pagar-contado-vs-cuotas.json,n/a,n/a,anillo otras-comparaciones (6) + hub finde / guia,yes,yes,pass
/comparar/cuanta-comida-comprar-reunion,comparacion,cocina-eventos,AR,Cuanta comida comprar para una reunion,src/content/comparaciones/cuanta-comida-comprar-reunion.json,n/a,n/a,anillo otras-comparaciones (6) + hub finde / guia,yes,yes,pass
/comparar/cuanto-gastar-por-invitado,comparacion,fin-de-semana-vida,AR,Cuanto deberia gastar por invitado,src/content/comparaciones/cuanto-gastar-por-invitado.json,n/a,n/a,anillo otras-comparaciones (6) + hub finde / guia,yes,yes,pass
/comparar/pintar-vs-empapelar,comparacion,fin-de-semana-vida,AR,Conviene pintar o empapelar,src/content/comparaciones/pintar-vs-empapelar.json,n/a,n/a,anillo otras-comparaciones (6) + hub finde / guia,yes,yes,pass
/comparar/cuanto-ahorrar-antes-compra-grande,comparacion,finanzas,AR,Cuanto ahorrar antes de una compra grande,src/content/comparaciones/cuanto-ahorrar-antes-compra-grande.json,n/a,n/a,anillo otras-comparaciones (6) + hub finde / guia,yes,yes,pass
/comparar/reparar-vs-reemplazar-electrodomestico,comparacion,fin-de-semana-vida,AR,Conviene reparar o reemplazar,src/content/comparaciones/reparar-vs-reemplazar-electrodomestico.json,n/a,n/a,anillo otras-comparaciones (6) + hub finde / guia,yes,yes,pass
/comparar/cuanto-fondo-de-emergencia-necesito,comparacion,finanzas,AR,Cuanto fondo de emergencia necesito,src/content/comparaciones/cuanto-fondo-de-emergencia-necesito.json,n/a,n/a,anillo otras-comparaciones (6) + hub finde / guia,yes,yes,pass
