query,url,country,device,date_range,clicks,impressions,ctr,average_position,sessions,engaged_sessions,source_file
,https://hacecuentas.com/fixture-mundial-2026,AR,,28d-to-2026-07-02,135,45407,0.003,7.165,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/feriados-colombia-2026,AR,,28d-to-2026-07-02,37,17377,0.0021,8,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/datos-salario-minimo-colombia-2026,CO,,28d-to-2026-07-02,142,11035,0.0129,4,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/feriados-chile-2026,AR,,28d-to-2026-07-02,41,10690,0.0038,7,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/posiciones-mundial-2026,AR,,28d-to-2026-07-02,55,10437,0.0053,7,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/tabla/tabla-categorias-monotributo-2026,AR,,28d-to-2026-07-02,44,9154,0.0048,6.2882,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/feriados-peru-2026,AR,,28d-to-2026-07-02,17,9056,0.0019,7.3568,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-actualizacion-inflacion-ipc,AR,,28d-to-2026-07-02,167,5754,0.029,6.6955,118,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-aportes-arl-colombia-empleador-empleado-riesgo,CO,,28d-to-2026-07-02,205,5459,0.0376,5.0049,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/ec/calculadora-prestamo-quirografario-iess-ecuador,EC,,28d-to-2026-07-02,20,5293,0.0038,7.3404,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/mx/calculadora-prima-antiguedad-mexico,MX,,28d-to-2026-07-02,130,4990,0.0261,6.0854,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/datos-monotributo-2026,AR,,28d-to-2026-07-02,72,4489,0.016,6.3382,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/cl/calculadora-uf-uta-utm-chile-conversion-pesos-2026,CL,,28d-to-2026-07-02,32,4488,0.0071,7.5252,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/mx/calculadora-isn-impuesto-sobre-nominas-estado,MX,,28d-to-2026-07-02,45,4435,0.0101,7.1932,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/mx/datos-salario-minimo-mexico-2026,MX,,28d-to-2026-07-02,20,4381,0.0046,6,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-generacion-perteneces,AR,,28d-to-2026-07-02,39,4035,0.0097,6.3113,39,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/partidos-hoy-mundial-2026,AR,,28d-to-2026-07-02,23,3947,0.0058,7.603,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-conversor-metros-lineales-a-metros-cuadrados,AR,,28d-to-2026-07-02,239,3399,0.0703,3.6061,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-millas-avianca-lifemiles,AR,,28d-to-2026-07-02,263,2965,0.0887,5.0057,55,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-impuesto-industria-comercio-ica-colombia-municipios,CO,,28d-to-2026-07-02,88,2773,0.0317,6,4,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-semanas-gestacion-ecografia,AR,,28d-to-2026-07-02,40,2752,0.0145,5.4473,7,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/mx/calculadora-salario-diario-integrado-sdi-mexico,MX,,28d-to-2026-07-02,73,2611,0.028,6,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-recargo-dominical-festivo-colombia-2026,CO,,28d-to-2026-07-02,134,2595,0.0516,5,103,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/feriados-ecuador-2026,AR,,28d-to-2026-07-02,18,2210,0.0081,6.5425,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-sancion-extemporaneidad-dian-2026,CO,,28d-to-2026-07-02,62,2152,0.0288,5.4902,25,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/mx/calculadora-pension-imss-ley-73-mexico,MX,,28d-to-2026-07-02,38,2136,0.0178,6.2978,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-costo-m2-construccion-argentina,AR,,28d-to-2026-07-02,235,2054,0.1144,3.6392,35,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-impuesto-ganancias-sueldo,AR,,28d-to-2026-07-02,87,1972,0.0441,6.0467,62,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-palabras-paginas-conversor,AR,,28d-to-2026-07-02,24,1930,0.0124,5.6321,3,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-retencion-ganancias-rg-830,AR,,28d-to-2026-07-02,70,1910,0.0366,5.3382,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-ladrillos-por-m2-construccion,AR,,28d-to-2026-07-02,78,1842,0.0423,4.6737,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-horas-extras-colombia-2026,CO,,28d-to-2026-07-02,58,1782,0.0325,6,41,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-interes-judicial-tasa,AR,,28d-to-2026-07-02,130,1774,0.0733,5.0891,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/valores-bcra,AR,,28d-to-2026-07-02,12,1721,0.007,6,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-comparador-messi-vs-cristiano-goles-asistencias-titulos,AR,,28d-to-2026-07-02,21,1568,0.0134,6,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-impuesto-renta-colombia-persona-natural-2026,AR,,28d-to-2026-07-02,120,1565,0.0767,4.4051,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/es/calculadora-irpf-2026-tramos-espana-nomina,ES,,28d-to-2026-07-02,2,1520,0.0013,7.8888,6,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/datos-aguinaldo-2026,AR,,28d-to-2026-07-02,47,1508,0.0312,6,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/blog/como-calcular-porcentajes,AR,,28d-to-2026-07-02,13,1433,0.0091,6.3545,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-contador-de-palabras-y-caracteres,AR,,28d-to-2026-07-02,14,1320,0.0106,7,19,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-isr-republica-dominicana-2026,AR,,28d-to-2026-07-02,30,1313,0.0228,6.655,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-antiguedad-laboral,AR,,28d-to-2026-07-02,102,1280,0.0797,4.6133,15,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/es/calculadora-convenio-hosteleria-espana-sueldo-2026-categoria,ES,,28d-to-2026-07-02,92,1265,0.0727,4.1115,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-recargo-nocturno-colombia-2026,CO,,28d-to-2026-07-02,25,1225,0.0204,5.6106,17,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-gastos-notariales-registro-compraventa-2026,CO,,28d-to-2026-07-02,89,1219,0.073,5,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-presion-atmosferica-altitud-barometrica,AR,,28d-to-2026-07-02,69,1211,0.057,4.4566,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-interes-mora-dian-colombia-2026,CO,,28d-to-2026-07-02,33,1166,0.0283,6,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-incapacidad-medica-eps-colombia,CO,,28d-to-2026-07-02,44,1164,0.0378,5,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/do/calculadora-liquidacion-republica-dominicana,DO,,28d-to-2026-07-02,14,1147,0.0122,6,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-hemoglobina-glicosilada-a1c-glucosa,AR,,28d-to-2026-07-02,26,1137,0.0229,6.4758,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-islr-venezuela-personas-naturales,AR,,28d-to-2026-07-02,50,1052,0.0475,5.7044,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/mx/calculadora-imss-cuotas-empleado-patron-mexico-2026,MX,,28d-to-2026-07-02,47,1034,0.0455,7.1228,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/mx/calculadora-impuesto-cedular-arrendamiento-mexico,MX,,28d-to-2026-07-02,36,966,0.0373,6.3333,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-indice-masa-corporal-pediatrico,AR,,28d-to-2026-07-02,19,953,0.0199,7,0,,data/bing-perf-latest.json (pages)
