url,route_type,country,category,cluster,slug,title,h1,indexable,canonical,sitemap,source_file,content_type,formula_signature,input_signature,lastmod,has_quick_answer,has_formula,has_example,has_table,has_faq,has_sources,has_related,internal_links_in,internal_links_out,is_sensitive,is_regulatory,word_count,status
https://hacecuentas.com/calculadora-1rm-press-banca-estimador,calculator,AR,deportes,sports_non_medical,calculadora-1rm-press-banca-estimador,1RM press banca: calculadora de máximo estimado | Hacé Cuentas,¿Cuánto es tu 1RM en press banca?,true,https://hacecuentas.com/calculadora-1rm-press-banca-estimador,true,src/content/calcs/1rm-press-banca-estimador.json,calc,1rm-press-banca-estimador::peso|reps::2,peso|reps,2026-06-22,true,true,true,true,true,true,false,,0,false,false,2389,ACTIVE
https://hacecuentas.com/calculadora-1rm-sentadilla-estimador,calculator,AR,deportes,sports_non_medical,calculadora-1rm-sentadilla-estimador,1RM Sentadilla: calculadora + tabla de porcentajes | Hacé Cuentas,Calculadora 1RM Sentadilla (back squat),true,https://hacecuentas.com/calculadora-1rm-sentadilla-estimador,true,src/content/calcs/1rm-sentadilla-estimador.json,calc,1rm-sentadilla-estimador::peso|reps::2,peso|reps,2026-06-20,true,true,true,true,true,true,false,,0,false,false,1113,ACTIVE
https://hacecuentas.com/a-que-hora-acostarme,calculator,AR,salud,health_low_risk,a-que-hora-acostarme,¿A qué hora acostarme? Calculadora de sueño,¿A qué hora acostarme?,true,https://hacecuentas.com/a-que-hora-acostarme,true,src/content/calcs/a-que-hora-acostarme.json,calc,a-que-hora-acostarme::horaDespertar|minutosDormirse::4,horaDespertar|minutosDormirse,2026-06-15,true,true,true,true,true,true,true,,2,false,false,787,ACTIVE
https://hacecuentas.com/calculadora-abl-caba-valuacion-fiscal-actualizada-2026,calculator,AR,vida,utilities,calculadora-abl-caba-valuacion-fiscal-actualizada-2026,ABL CABA 2026 | Hacé Cuentas,ABL CABA 2026,true,https://hacecuentas.com/calculadora-abl-caba-valuacion-fiscal-actualizada-2026,true,src/content/calcs/abl-caba-valuacion-fiscal-actualizada-2026.json,calc,abl-caba-valuacion-fiscal-actualizada-2026::unicaVivienda|valuacionFiscal::3,unicaVivienda|valuacionFiscal,2026-06-16,true,true,true,true,true,true,false,,0,false,false,1312,ACTIVE
https://hacecuentas.com/calculadora-abl-expensas-quien-paga-inquilino-propietario,calculator,AR,finanzas,housing,calculadora-abl-expensas-quien-paga-inquilino-propietario,Calculadora ABL y expensas: inquilino vs propietario,ABL y expensas: inquilino vs propietario,true,https://hacecuentas.com/calculadora-abl-expensas-quien-paga-inquilino-propietario,true,src/content/calcs/abl-expensas-quien-paga-inquilino-propietario.json,calc,abl-expensas-quien-paga-inquilino-propietario::concepto::3,concepto,2026-07-02,true,true,true,true,true,true,true,,1,false,false,2034,ACTIVE
https://hacecuentas.com/calculadora-aceite-motor-capacidad-cambio-km,calculator,AR,automotor,automotive,calculadora-aceite-motor-capacidad-cambio-km,¿Cada cuántos km cambiar el aceite? Calculadora 2026 | Hacé Cuentas,¿Cada cuántos km cambiar el aceite?,true,https://hacecuentas.com/calculadora-aceite-motor-capacidad-cambio-km,true,src/content/calcs/aceite-motor-capacidad-cambio-km.json,calc,aceite-motor-capacidad-cambio-km::kmActual|tipo::3,kmActual|tipo,2026-06-22,true,true,true,true,true,true,true,,3,false,false,750,ACTIVE
https://hacecuentas.com/calculadora-aceleracion-fuerza-masa,calculator,AR,ciencia,statistics,calculadora-aceleracion-fuerza-masa,"Calculadora de Fuerza, Masa y Aceleración (F = m·a)","Calculadora de Fuerza, Masa y Aceleración (F = m·a)",true,https://hacecuentas.com/calculadora-aceleracion-fuerza-masa,true,src/content/calcs/aceleracion-fuerza-masa.json,calc,aceleracion-fuerza-masa::aceleracion|fuerza|masa::4,aceleracion|fuerza|masa,2026-06-15,true,true,true,true,true,true,false,,0,false,false,908,ACTIVE
https://hacecuentas.com/calculadora-acento-extranjero-score-practica-horas,calculator,AR,idiomas,education,calculadora-acento-extranjero-score-practica-horas,¿Cuánto tarda en reducir el acento extranjero? Calculadora + tabla | Hacé Cuentas,¿Cuánto tarda en reducir el acento extranjero?,true,https://hacecuentas.com/calculadora-acento-extranjero-score-practica-horas,true,src/content/calcs/acento-extranjero-score-practica-horas.json,calc,acento-extranjero-score-practica-horas::horasSem|nivelActual::2,horasSem|nivelActual,2026-06-17,true,true,true,true,true,true,false,,0,false,false,1158,ACTIVE
https://hacecuentas.com/calculadora-acero-kg-m2-losa,calculator,AR,construccion,construction,calculadora-acero-kg-m2-losa,Calculadora Hierro por m² de losa 2026 — Gratis,Hierro por m² de losa,true,https://hacecuentas.com/calculadora-acero-kg-m2-losa,true,src/content/calcs/acero-kg-m2-losa.json,calc,acero-kg-m2-losa::tipo::2,tipo,2026-06-17,true,true,true,true,true,true,true,,1,false,false,2190,ACTIVE
https://hacecuentas.com/calculadora-adaptador-enchufe-voltaje-pais,calculator,AR,viajes,travel,calculadora-adaptador-enchufe-voltaje-pais,¿Que Adaptador de Enchufe Necesitas? 2026 | Hacé Cuentas,¿Que Adaptador de Enchufe Necesitas?,true,https://hacecuentas.com/calculadora-adaptador-enchufe-voltaje-pais,true,src/content/calcs/adaptador-enchufe-voltaje-pais.json,calc,adaptador-enchufe-voltaje-pais::destino|dispositivos::5,destino|dispositivos,2026-06-15,true,true,true,true,true,true,true,,1,false,false,824,ACTIVE
https://hacecuentas.com/calculadora-adolescente-estatura-final-prediccion-edad-huesos,calculator,AR,familia,other,calculadora-adolescente-estatura-final-prediccion-edad-huesos,¿Cuánto va a medir tu hijo? Calculadora estatura final + tabla | Hacé Cuentas,Calculadora de estatura final para adolescentes,true,https://hacecuentas.com/calculadora-adolescente-estatura-final-prediccion-edad-huesos,true,src/content/calcs/adolescente-estatura-final-prediccion-edad-huesos.json,calc,adolescente-estatura-final-prediccion-edad-huesos::alturaActualCm|alturaMadre|alturaPadre|edad|sexo::3,alturaActualCm|alturaMadre|alturaPadre|edad|sexo,2026-06-20,true,true,true,true,true,true,false,,0,false,false,2737,ACTIVE
https://hacecuentas.com/calculadora-adoquines-m2,calculator,AR,construccion,construction,calculadora-adoquines-m2,Calculadora de adoquines por m² 2026 (cantidad y arena) | Hacé Cuentas,Calculadora de adoquines por metro cuadrado,true,https://hacecuentas.com/calculadora-adoquines-m2,true,src/content/calcs/adoquines-m2.json,calc,adoquines-m2::area_m2|desperdicio_pct|tipo_adoquin::3,area_m2|desperdicio_pct|tipo_adoquin,2026-07-03,true,true,true,true,true,true,true,,5,false,false,669,ACTIVE
https://hacecuentas.com/calculadora-afinacion-frecuencia-nota,calculator,AR,entretenimiento,other,calculadora-afinacion-frecuencia-nota,Frecuencia de Notas Musicales: calculadora + tabla Hz | Hacé Cuentas,Frecuencia de Notas Musicales en Hz — Calculadora y Tabla Completa,true,https://hacecuentas.com/calculadora-afinacion-frecuencia-nota,true,src/content/calcs/afinacion-frecuencia-nota.json,calc,afinacion-frecuencia-nota::afinacionBase|nota|octava::4,afinacionBase|nota|octava,2026-06-16,true,true,true,true,true,true,false,,0,false,false,1030,ACTIVE
https://hacecuentas.com/calculadora-agua-cafe-te-hidratacion-real-mitos,calculator,AR,salud,health_low_risk,calculadora-agua-cafe-te-hidratacion-real-mitos,¿El café deshidrata? Calculadora + tabla de hidratación | Hacé Cuentas,¿El café deshidrata? Calculá tu hidratación real con café y té,true,https://hacecuentas.com/calculadora-agua-cafe-te-hidratacion-real-mitos,true,src/content/calcs/agua-cafe-te-hidratacion-real-mitos.json,calc,agua-cafe-te-hidratacion-real-mitos::cafesDia|taza_ml::3,cafesDia|taza_ml,2026-06-20,true,true,true,true,true,true,true,,1,false,false,1158,ACTIVE
https://hacecuentas.com/calculadora-agua-consumo-hogar-ahorro,calculator,AR,medio-ambiente,other,calculadora-agua-consumo-hogar-ahorro,Consumo Agua Hogar + Ahorro 2026 — Gratis | Hacé Cuentas,Calculadora de consumo de agua del hogar con ahorro estimado,true,https://hacecuentas.com/calculadora-agua-consumo-hogar-ahorro,true,src/content/calcs/agua-consumo-hogar-ahorro.json,calc,agua-consumo-hogar-ahorro::descargas|duchasPorDia|minutossDucha|personas::5,descargas|duchasPorDia|minutossDucha|personas,2026-06-17,true,true,true,true,true,true,false,,0,false,false,736,ACTIVE
https://hacecuentas.com/calculadora-agua-diaria-necesaria,calculator,AR,vida,utilities,calculadora-agua-diaria-necesaria,Calculadora de Agua Diaria Necesaria 2026 | Hacé Cuentas,Calculadora de Litros de Agua que Necesitás por Día,true,https://hacecuentas.com/calculadora-agua-diaria-necesaria,true,src/content/calcs/agua-diaria-necesaria.json,calc,agua-diaria-necesaria::actividad|clima|peso::3,actividad|clima|peso,2026-07-01,true,true,true,true,true,true,true,,1,false,false,1765,ACTIVE
https://hacecuentas.com/calculadora-agua-jardin-consumo-mensual-m2,calculator,AR,jardineria,other,calculadora-agua-jardin-consumo-mensual-m2,Consumo de Agua Mensual para Riego de Jardín | Hacé Cuentas,Calculadora de consumo de agua mensual para riego de jardín,true,https://hacecuentas.com/calculadora-agua-jardin-consumo-mensual-m2,true,src/content/calcs/agua-jardin-mensual.json,calc,agua-jardin-mensual::estacion|precioM3|superficieM2|tipoVegetacion::4,estacion|precioM3|superficieM2|tipoVegetacion,2026-07-02,true,true,true,true,true,true,false,,0,false,false,1231,ACTIVE
https://hacecuentas.com/calculadora-agua-pasta-litros-gramos,calculator,AR,cocina,food,calculadora-agua-pasta-litros-gramos,Calculadora de agua para cocinar pasta 2026 | Hacé Cuentas,Calculadora de agua para cocinar pasta,true,https://hacecuentas.com/calculadora-agua-pasta-litros-gramos,true,src/content/calcs/agua-pasta-litros-gramos.json,calc,agua-pasta-litros-gramos::gramosPasta|tipoPasta::4,gramosPasta|tipoPasta,2026-06-16,true,true,true,true,true,true,false,,0,false,false,823,ACTIVE
https://hacecuentas.com/calculadora-agua-riego-plantas-dia,calculator,AR,jardineria,other,calculadora-agua-riego-plantas-dia,Calculadora Agua de riego por planta/día 2026 | Hacé Cuentas,Agua de riego por planta/día,true,https://hacecuentas.com/calculadora-agua-riego-plantas-dia,true,src/content/calcs/agua-riego-plantas-dia.json,calc,agua-riego-plantas-dia::especie|etapa::2,especie|etapa,2026-06-17,true,true,true,true,true,true,true,,8,false,false,955,ACTIVE
https://hacecuentas.com/calculadora-aguinaldo-mexico-2026,calculator,AR,finanzas,employment_termination,calculadora-aguinaldo-mexico-2026,Aguinaldo México 2026: Calculadora Gratis | Hacé Cuentas,Aguinaldo México 2026: Calculadora Gratis,true,https://hacecuentas.com/calculadora-aguinaldo-mexico-2026,true,src/content/calcs/aguinaldo-mexico.json,calc,aguinaldo-mexico::aniosAntiguedad|diasAguinaldo|diasTrabajados|salarioDiario::5,aniosAntiguedad|diasAguinaldo|diasTrabajados|salarioDiario,2026-07-02,true,true,true,true,true,true,true,,1,false,true,740,ACTIVE
https://hacecuentas.com/calculadora-aguinaldo-sac,calculator,AR,finanzas,employment_termination,calculadora-aguinaldo-sac,Calculadora Aguinaldo SAC 2026: neto en 30 segundos,Calculadora de Aguinaldo (SAC),true,https://hacecuentas.com/calculadora-aguinaldo-sac,true,src/content/calcs/aguinaldo.json,calc,aguinaldo::mejorSueldo|mesesTrabajados::4,mejorSueldo|mesesTrabajados,2026-07-01,true,true,true,true,true,true,true,,7,false,true,2204,ACTIVE
https://hacecuentas.com/calculadora-ahorro-auto-electrico-vs-nafta-anual,calculator,AR,automotor,automotive,calculadora-ahorro-auto-electrico-vs-nafta-anual,Calculadora Ahorro auto eléctrico vs nafta 2026,Ahorro auto eléctrico vs nafta,true,https://hacecuentas.com/calculadora-ahorro-auto-electrico-vs-nafta-anual,true,src/content/calcs/ahorro-auto-electrico-vs-nafta-anual.json,calc,ahorro-auto-electrico-vs-nafta-anual::evKwh|km|nkm|pElec|pNafta::4,evKwh|km|nkm|pElec|pNafta,2026-06-17,true,true,true,true,true,true,true,,1,false,false,2275,ACTIVE
https://hacecuentas.com/calculadora-ahorro-bicicleta-vs-auto-mensual,calculator,AR,vida,automotive,calculadora-ahorro-bicicleta-vs-auto-mensual,Bicicleta vs auto: ¿cuánto ahorrás por mes? | Hacé Cuentas,Bicicleta vs auto: ¿cuánto ahorrás por mes?,true,https://hacecuentas.com/calculadora-ahorro-bicicleta-vs-auto-mensual,true,src/content/calcs/ahorro-bici-vs-auto.json,calc,ahorro-bici-vs-auto::consumoAutoLPor100km|costoEstacionamiento|diasPorMes|distanciaDiariaKm|precioNaftaPorLitro::5,consumoAutoLPor100km|costoEstacionamiento|diasPorMes|distanciaDiariaKm|precioNaftaPorLitro,2026-06-22,true,true,true,true,true,true,true,,1,false,false,2619,ACTIVE
https://hacecuentas.com/calculadora-ahorro-compuesto-tiempo-duplicar-regla-72,calculator,AR,finanzas,savings,calculadora-ahorro-compuesto-tiempo-duplicar-regla-72,Regla del 72: años para duplicar tu dinero | Hacé Cuentas,Calculadora de la regla del 72: ¿en cuántos años se duplica tu dinero?,true,https://hacecuentas.com/calculadora-ahorro-compuesto-tiempo-duplicar-regla-72,true,src/content/calcs/ahorro-compuesto-tiempo-duplicar-regla-72.json,calc,ahorro-compuesto-tiempo-duplicar-regla-72::tasa::4,tasa,2026-06-16,true,true,true,true,true,true,true,,1,false,false,1271,ACTIVE
https://hacecuentas.com/calculadora-ahorro-dejar-cigarrillos,calculator,AR,vida,utilities,calculadora-ahorro-dejar-cigarrillos,¿Cuánto ahorrás dejando de fumar? Calculadora de ahorro,¿Cuánto ahorrás dejando de fumar? Calculadora de ahorro,true,https://hacecuentas.com/calculadora-ahorro-dejar-cigarrillos,true,src/content/calcs/ahorro-dejar-fumar.json,calc,ahorro-dejar-fumar::cigarrillosDia|precioAtado::5,cigarrillosDia|precioAtado,2026-06-22,true,true,true,true,true,true,true,,1,false,false,1180,ACTIVE
https://hacecuentas.com/calculadora-ahorro-energia-solar-paneles,calculator,AR,medio-ambiente,food,calculadora-ahorro-energia-solar-paneles,Calculadora de ahorro con paneles solares 2026,Calculadora de ahorro con paneles solares,true,https://hacecuentas.com/calculadora-ahorro-energia-solar-paneles,true,src/content/calcs/ahorro-energia-solar-paneles.json,calc,ahorro-energia-solar-paneles::costoInstalacion|horasSolPico|potenciaKw|tarifaKwh::5,costoInstalacion|horasSolPico|potenciaKw|tarifaKwh,2026-07-02,true,true,true,true,true,true,false,,0,false,false,703,ACTIVE
https://hacecuentas.com/calculadora-ahorro-gnc-vs-nafta-anual-ars,calculator,AR,automotor,automotive,calculadora-ahorro-gnc-vs-nafta-anual-ars,Calculadora Ahorro GNC vs nafta anual 2026 | Hacé Cuentas,Ahorro GNC vs nafta anual,true,https://hacecuentas.com/calculadora-ahorro-gnc-vs-nafta-anual-ars,true,src/content/calcs/ahorro-gnc-vs-nafta-anual-ars.json,calc,ahorro-gnc-vs-nafta-anual-ars::km|kmL|kmM3|pG|pN::4,km|kmL|kmM3|pG|pN,2026-06-17,true,true,true,true,true,true,true,,2,false,false,1965,ACTIVE
https://hacecuentas.com/calculadora-ahorro-hormiga-gasto-diario,calculator,AR,finanzas,savings,calculadora-ahorro-hormiga-gasto-diario,Calculadora de Ahorro Hormiga 2026 — Gratis | Hacé Cuentas,Calculadora de Ahorro Hormiga,true,https://hacecuentas.com/calculadora-ahorro-hormiga-gasto-diario,true,src/content/calcs/ahorro-hormiga.json,calc,ahorro-hormiga::gastoDiario|tasaAnual::4,gastoDiario|tasaAnual,2026-06-16,true,true,true,true,true,true,false,,0,false,false,1030,ACTIVE
https://hacecuentas.com/calculadora-ahorro-meta-mensual,calculator,AR,finanzas,savings,calculadora-ahorro-meta-mensual,¿Cuánto ahorrar por mes para llegar a tu meta? 2026,¿Cuánto ahorrar por mes para llegar a tu meta?,true,https://hacecuentas.com/calculadora-ahorro-meta-mensual,true,src/content/calcs/ahorro-meta.json,calc,ahorro-meta::ahorroInicial|montoMeta|plazoMeses|tasaAnual::4,ahorroInicial|montoMeta|plazoMeses|tasaAnual,2026-06-15,true,true,true,true,true,true,false,,0,false,false,1690,ACTIVE
https://hacecuentas.com/calculadora-ahorro-objetivo-mensual,calculator,AR,finanzas,savings,calculadora-ahorro-objetivo-mensual,¿Cuánto Ahorrar por Mes para tu Objetivo? 2026,¿Cuánto Ahorrar por Mes para tu Objetivo?,true,https://hacecuentas.com/calculadora-ahorro-objetivo-mensual,true,src/content/calcs/ahorro-objetivo-mensual.json,calc,ahorro-objetivo-mensual::ahorroActual|metaTotal|plazoMeses::4,ahorroActual|metaTotal|plazoMeses,2026-06-16,true,true,true,true,true,true,false,,0,false,false,884,ACTIVE
https://hacecuentas.com/calculadora-ahorro-termo-electrico-vs-gas,calculator,AR,vida,utilities,calculadora-ahorro-termo-electrico-vs-gas,Calculadora de ahorro: termo eléctrico vs gas 2026,Calculadora de ahorro: termo eléctrico vs gas,true,https://hacecuentas.com/calculadora-ahorro-termo-electrico-vs-gas,true,src/content/calcs/ahorro-termo-electrico-vs-gas.json,calc,ahorro-termo-electrico-vs-gas::eficienciaElectrico|eficienciaGas|litrosDiarios|precioKwh|precioM3Gas::4,eficienciaElectrico|eficienciaGas|litrosDiarios|precioKwh|precioM3Gas,2026-06-20,true,true,true,true,true,true,true,,1,false,false,2668,ACTIVE
https://hacecuentas.com/calculadora-ahorro-transporte-publico-vs-auto,calculator,AR,medio-ambiente,automotive,calculadora-ahorro-transporte-publico-vs-auto,Auto vs transporte público: ¿cuánto ahorrás por mes? | Hacé Cuentas,Auto vs transporte público: ¿cuánto ahorrás por mes?,true,https://hacecuentas.com/calculadora-ahorro-transporte-publico-vs-auto,true,src/content/calcs/ahorro-transporte-publico-vs-auto.json,calc,ahorro-transporte-publico-vs-auto::consumoAutoL100km|costoBoletoIda|costoEstacionamiento|diasPorMes|distanciaDiariaKm|precioNaftaPorLitro::6,consumoAutoL100km|costoBoletoIda|costoEstacionamiento|diasPorMes|distanciaDiariaKm|precioNaftaPorLitro,2026-06-22,true,true,true,true,true,true,false,,0,false,false,745,ACTIVE
https://hacecuentas.com/calculadora-aislacion-termica-k-minimo-zona,calculator,AR,construccion,construction,calculadora-aislacion-termica-k-minimo-zona,Calculadora Aislación térmica K mínimo por zona 2026,Aislación térmica K mínimo por zona,true,https://hacecuentas.com/calculadora-aislacion-termica-k-minimo-zona,true,src/content/calcs/aislacion-termica-k-minimo-zona.json,calc,aislacion-termica-k-minimo-zona::zona::2,zona,2026-07-02,true,true,true,true,true,true,false,,0,false,false,841,ACTIVE
