classification,topic,a,b,suggestedCanonical,titleSim,intentSim,sameFormula,sameFields,sameOutputs,sameCategory,autoRedirectSafe
same_intent,porcentajes,calculadora-cuota-alimentaria-hijos,calculadora-cuota-alimentos-porcentaje-sueldo-hijo,,0.5,0.63,false,false,false,false,false
same_intent,agua_diaria,calculadora-consumo-agua-mensual,calculadora-gasto-agua-mensual-hogar-litros,,0.14,0.6,false,false,false,true,false
same_intent,conversiones,calculadora-conversor-kw-a-hp,calculadora-potencia-hp-kw-cv,,0,0.58,false,false,false,false,false
same_intent,agua_diaria,calculadora-conversion-litros-galones-onzas,conversor-litros-galones-mililitros,,0.67,0.56,false,false,false,true,false
same_intent,conversiones,calculadora-conversion-millas-kilometros-nudos-velocidad,calculadora-conversion-velocidad-kmh-mph-nudos,,0.43,0.53,false,false,false,false,false
same_intent,embarazo_parto,calculadora-gestacion-perra,calculadora-gestacion-perro-gato-duracion-parto,,0.4,0.53,false,false,false,true,false
same_intent,agua_diaria,calculadora-agua-consumo-hogar-ahorro,calculadora-gasto-agua-mensual-hogar-litros,,0.29,0.5,false,false,false,false,false
same_intent,conversiones,calculadora-conversion-celsius-fahrenheit-kelvin-rankine-temperatura,conversor-celsius-fahrenheit-temperatura,,0.29,0.5,false,false,false,false,false
same_intent,conversiones,calculadora-conversion-kilo-libra-lb-kg-exacto,calculadora-conversion-libras-kilos-onzas-stone,,0.5,0.5,false,false,false,true,false
same_intent,conversiones,calculadora-conversor-anos-a-dias,calculadora-conversor-semanas-a-dias,,0.67,0.5,false,true,true,true,false
same_intent,conversiones,calculadora-conversor-brazas-a-metros,calculadora-conversor-pies-a-metros,,0.5,0.5,false,true,true,true,false
same_intent,conversiones,calculadora-conversor-pies-a-metros,calculadora-conversor-pies-a-pulgadas,,0.5,0.5,false,true,true,true,false
same_intent,conversiones,calculadora-diferencia-horaria-ciudades-paises,calculadora-zona-horaria-diferencia-ciudades-convertir,,0.5,0.5,false,false,false,true,false
same_intent,conversiones,calculadora-conversor-bolsas-cemento-por-metro-cubico,calculadora-conversor-pie-tabla-a-metro-cubico,,0.5,0.46,false,true,true,true,false
same_intent,conversiones,calculadora-conversor-fahrenheit-a-celsius-horno,conversor-celsius-fahrenheit-temperatura,,0.75,0.41,false,false,false,false,false
same_intent,conversiones,calculadora-conversion-milla-kilometro-ida-vuelta,calculadora-conversion-millas-kilometros-nudos-velocidad,,0.67,0.38,false,false,false,true,false
