url,file,country,formula_id,formula_passed,formula_error,sources,accessible_sources,reachable_sources,deep_accessible_sources,topic_matched_sources,source_automated_ready,source_verified,editorial_review,automated_tests
"https://hacecuentas.com/a-que-hora-acostarme","src/content/calcs/a-que-hora-acostarme.json","AR","a-que-hora-acostarme","true","","2","2","2","1","2","true","true","approved","passed"
"https://hacecuentas.com/calculadora-adaptador-enchufe-voltaje-pais","src/content/calcs/adaptador-enchufe-voltaje-pais.json","AR","adaptador-enchufe-voltaje-pais","true","","2","2","2","2","2","true","true","approved","passed"
"https://hacecuentas.com/calculadora-afinacion-frecuencia-nota","src/content/calcs/afinacion-frecuencia-nota.json","AR","afinacion-frecuencia-nota","true","","3","1","1","1","1","true","true","approved","passed"
"https://hacecuentas.com/calculadora-agua-jardin-consumo-mensual-m2","src/content/calcs/agua-jardin-mensual.json","AR","agua-jardin-mensual","true","","8","8","8","8","8","true","true","approved","passed"
"https://hacecuentas.com/calculadora-aguinaldo-mexico-2026","src/content/calcs/aguinaldo-mexico.json","AR","aguinaldo-mexico","true","","4","2","2","2","2","true","true","approved","passed"
"https://hacecuentas.com/calculadora-aguinaldo-sac","src/content/calcs/aguinaldo.json","AR","aguinaldo","true","","4","4","4","4","4","true","true","approved","passed"
"https://hacecuentas.com/calculadora-ahorro-compuesto-tiempo-duplicar-regla-72","src/content/calcs/ahorro-compuesto-tiempo-duplicar-regla-72.json","AR","ahorro-compuesto-tiempo-duplicar-regla-72","true","","4","0","4","4","2","false","false","pending","passed"
"https://hacecuentas.com/calculadora-ahorro-dejar-cigarrillos","src/content/calcs/ahorro-dejar-fumar.json","AR","ahorro-dejar-fumar","true","","2","1","1","1","1","true","true","approved","passed"
"https://hacecuentas.com/calculadora-ahorro-hormiga-gasto-diario","src/content/calcs/ahorro-hormiga.json","AR","ahorro-hormiga","true","","2","2","2","2","2","true","true","approved","passed"
"https://hacecuentas.com/calculadora-ahorro-meta-mensual","src/content/calcs/ahorro-meta.json","AR","ahorro-meta","true","","3","3","3","2","3","true","true","approved","passed"
"https://hacecuentas.com/calculadora-ahorro-termo-electrico-vs-gas","src/content/calcs/ahorro-termo-electrico-vs-gas.json","AR","ahorro-termo-electrico-vs-gas","true","","2","2","2","2","2","true","true","approved","passed"
"https://hacecuentas.com/calculadora-ajuste-sueldo-inflacion","src/content/calcs/ajuste-sueldo-inflacion.json","AR","ajuste-sueldo-inflacion","true","","2","2","2","2","2","true","true","approved","passed"
"https://hacecuentas.com/calculadora-alcohol-sangre-bac","src/content/calcs/alcohol-sangre.json","AR","alcohol-sangre","true","","5","5","5","3","5","true","true","approved","passed"
"https://hacecuentas.com/calculadora-almacenamiento-bytes-kb-mb-gb-tb","src/content/calcs/almacenamiento-bytes-kb-mb-gb-tb.json","AR","almacenamiento-bytes-kb-mb-gb-tb","true","","3","3","3","3","3","true","true","approved","passed"
"https://hacecuentas.com/calculadora-actualizacion-alquiler-icl","src/content/calcs/alquiler-icl.json","AR","alquiler-icl","true","","3","3","3","3","3","true","true","approved","passed"
"https://hacecuentas.com/calculadora-amplificador-watts-parlantes","src/content/calcs/amplificador-watts-parlantes.json","AR","amplificador-watts-parlantes","true","","4","1","2","2","1","true","true","approved","passed"
"https://hacecuentas.com/calculadora-ancho-banda-descarga-tiempo","src/content/calcs/ancho-banda-descarga-tiempo.json","AR","ancho-banda-descarga-tiempo","true","","3","2","2","2","2","true","true","approved","passed"
"https://hacecuentas.com/calculadora-angel-guardian-fecha","src/content/calcs/angel-guardian-fecha.json","AR","angel-guardian-fecha","true","","2","1","1","1","0","false","false","pending","passed"
"https://hacecuentas.com/calculadora-aniversario-pareja","src/content/calcs/aniversario-pareja.json","AR","aniversario-pareja","true","","2","2","2","2","2","true","true","approved","passed"
"https://hacecuentas.com/calculadora-anki-flashcards-dia-aprender-palabras","src/content/calcs/anki-flashcards-dia-aprender-palabras.json","AR","anki-flashcards-dia-aprender-palabras","true","","4","3","4","4","3","true","true","approved","passed"
"https://hacecuentas.com/calculadora-antiguedad-laboral","src/content/calcs/antiguedad-laboral.json","AR","antiguedad-laboral","true","","4","3","4","3","4","true","true","approved","passed"
"https://hacecuentas.com/calculadora-arba-sellos-inmobiliarios-pba-compraventa","src/content/calcs/arba-sellos-inmobiliarios-pba-compraventa.json","AR","arba-sellos-inmobiliarios-pba-compraventa","true","","3","3","3","3","3","true","true","approved","passed"
"https://hacecuentas.com/calculadora-area-perimetro-circulo-sector-circular","src/content/calcs/area-circulo-sector.json","AR","area-circulo-sector","true","","2","2","2","2","2","true","true","approved","passed"
"https://hacecuentas.com/calculadora-area-perimetro-figuras","src/content/calcs/area-perimetro.json","AR","area-perimetro","true","","3","3","3","3","2","true","true","approved","passed"
"https://hacecuentas.com/calculadora-area-triangulo-heron-tres-lados","src/content/calcs/area-triangulo-heron-tres-lados.json","AR","area-triangulo-heron-tres-lados","true","","3","3","3","2","3","true","true","approved","passed"
"https://hacecuentas.com/calculadora-area-triangulo-vertices-coordenadas","src/content/calcs/area-triangulo-vertices-coordenadas.json","AR","area-triangulo-vertices-coordenadas","true","","2","2","2","2","2","true","true","approved","passed"
"https://hacecuentas.com/calculadora-arena-sanitaria-gato-kg-mes","src/content/calcs/arena-sanitaria-gato-kg-mes.json","AR","arena-sanitaria-gato-kg-mes","true","","3","2","2","1","2","true","true","approved","passed"
"https://hacecuentas.com/calculadora-asignacion-desempleo-seguro-prestacion-anses","src/content/calcs/asignacion-desempleo-seguro-prestacion-anses.json","AR","asignacion-desempleo-seguro-prestacion-anses","true","","3","2","3","3","3","true","true","approved","passed"
"https://hacecuentas.com/calculadora-attribution-modelo-primer-ultimo-click","src/content/calcs/attribution-modelo-primer-ultimo-click.json","AR","attribution-modelo-primer-ultimo-click","true","","3","2","2","2","2","true","true","approved","passed"
"https://hacecuentas.com/calculadora-audio-bitrate-tamano-mp3","src/content/calcs/audio-bitrate-tamano-mp3.json","AR","audio-bitrate-tamano-mp3","true","","3","2","2","2","2","true","true","approved","passed"
"https://hacecuentas.com/calculadora-aumento-altura-adolescente-prediccion","src/content/calcs/aumento-altura-adolescente-prediccion.json","AR","aumento-altura-adolescente-prediccion","true","","5","4","4","4","4","true","true","approved","passed"
"https://hacecuentas.com/calculadora-autonomia-ups-tiempo-respaldo-servidor","src/content/calcs/autonomia-ups-tiempo-respaldo-servidor.json","AR","autonomia-ups-tiempo-respaldo-servidor","true","","8","6","6","6","5","true","true","approved","passed"
"https://hacecuentas.com/calculadora-autovia-peajes-argentina-ruta-2-ruta-3","src/content/calcs/autovia-peajes-argentina-ruta-2-ruta-3.json","AR","autovia-peajes-argentina-ruta-2-ruta-3","true","","5","4","4","4","4","true","true","approved","passed"
"https://hacecuentas.com/calculadora-ayuno-intermitente-beneficios-calorias-20-4","src/content/calcs/ayuno-intermitente-beneficios-calorias-20-4.json","AR","ayuno-intermitente-beneficios-calorias-20-4","true","","6","2","5","5","5","true","true","approved","passed"
"https://hacecuentas.com/calculadora-azulejos-baldosas-metros-cuadrados-cantidad","src/content/calcs/azulejos-baldosas-metros-cuadrados-cantidad.json","AR","azulejos-baldosas-metros-cuadrados-cantidad","true","","3","1","2","1","1","true","true","approved","passed"
"https://hacecuentas.com/calculadora-banco-baterias-solar-dias-autonomia","src/content/calcs/banco-baterias-solar-dias-autonomia.json","AR","banco-baterias-solar-dias-autonomia","true","","3","1","1","0","1","false","false","pending","passed"
"https://hacecuentas.com/calculadora-bateria-capacidad-runtime-ah","src/content/calcs/bateria-capacidad-runtime-ah.json","AR","bateria-capacidad-runtime-ah","true","","3","2","2","2","2","true","true","approved","passed"
"https://hacecuentas.com/calculadora-beca-promedio-minimo-requisito-universidades","src/content/calcs/beca-promedio-minimo-requisito-universidades.json","AR","beca-promedio-minimo-requisito-universidades","true","","4","3","3","2","3","true","true","approved","passed"
"https://hacecuentas.com/calculadora-bienes-personales-tramos-alicuota-2026","src/content/calcs/bienes-personales-tramos-alicuota-2026.json","AR","bienes-personales-tramos-alicuota-2026","true","","3","3","3","3","3","true","true","approved","passed"
"https://hacecuentas.com/calculadora-bienes-personales-2026","src/content/calcs/bienes-personales.json","AR","bienes-personales","true","","3","3","3","3","3","true","true","approved","passed"
"https://hacecuentas.com/calculadora-bisagras-tornillos-puerta-ventana-cantidad","src/content/calcs/bisagras-tornillos-puerta-ventana-cantidad.json","AR","bisagras-tornillos-puerta-ventana-cantidad","true","","4","4","4","3","4","true","true","approved","passed"
"https://hacecuentas.com/calculadora-punto-equilibrio-break-even","src/content/calcs/break-even.json","AR","break-even","true","","3","2","3","3","3","true","true","approved","passed"
"https://hacecuentas.com/calculadora-burn-rate-runway-startup","src/content/calcs/burn-rate-runway.json","AR","burn-rate-runway","true","","2","2","2","1","2","true","true","approved","passed"
