file,slug,locale,explanation_chars,editorial_chars,previous_status,reasons,changed
"src/content/calcs-co/calculadora-credito-hipotecario-davivienda-cuota.json","calculadora-credito-hipotecario-davivienda-cuota","co","961","1965","restricted","missing-solved-example","false"
"src/content/calcs-co/calculadora-edad-escolar-simat-colombia.json","calculadora-edad-escolar-simat-colombia","co","818","1901","restricted","missing-solved-example","false"
"src/content/calcs-co/calculadora-fecha-limite-secop-dias-habiles.json","calculadora-fecha-limite-secop-dias-habiles","co","835","1794","restricted","missing-solved-example","false"
"src/content/calcs-co/calculadora-hora-fin-programa-rcn.json","calculadora-hora-fin-programa-rcn","co","571","1453","restricted","editorial-content-under-1500|missing-solved-example","false"
"src/content/calcs-co/calculadora-limites-retiro-recarga-nequi.json","calculadora-limites-retiro-recarga-nequi","co","806","1810","restricted","missing-solved-example","false"
"src/content/calcs-co/calculadora-redam-cuotas-alimentarias-mora.json","calculadora-redam-cuotas-alimentarias-mora","co","879","1962","restricted","missing-solved-example","false"
"src/content/calcs-co/calculadora-retiro-cesantias-porvenir.json","calculadora-retiro-cesantias-porvenir","co","903","1933","restricted","missing-solved-example","false"
"src/content/calcs-ec/horas-extra-suplementarias-ecuador.json","calculadora-horas-extra-suplementarias-ecuador","ec","3182","9393","restricted","high-stakes-without-professional-review","false"
"src/content/calcs-en/cafeina-dosis-rendimiento.json","cafeina-dosis-rendimiento","en","3671","10960","restricted","high-stakes-without-professional-review","false"
"src/content/calcs-en/cafeina-dosis-segura-diaria-peso.json","cafeina-dosis-segura-diaria-peso","en","2167","8120","restricted","high-stakes-without-professional-review","false"
"src/content/calcs-en/fertilizante-npk-dosis.json","fertilizante-npk-dosis","en","2416","8295","restricted","high-stakes-without-professional-review","false"
"src/content/calcs-en/irregular-fertile-window.json","irregular-fertile-window","en","5116","8623","restricted","high-stakes-without-professional-review","false"
"src/content/calcs-en/magnesio-dosis-deficiencia-sintomas.json","magnesio-dosis-deficiencia-sintomas","en","3361","9672","restricted","high-stakes-without-professional-review","false"
"src/content/calcs-en/male-fertility-age.json","male-fertility-age","en","4962","8893","restricted","high-stakes-without-professional-review","false"
"src/content/calcs-en/ovulation-fertile-window-calculator.json","ovulation-fertile-window-calculator","en","2776","8257","restricted","high-stakes-without-professional-review","false"
"src/content/calcs-pt/calculadora-ovulacao-periodo-fertil-ciclo.json","calculadora-ovulacao-periodo-fertil-ciclo","pt","2373","8546","restricted","high-stakes-without-professional-review","false"
