grupo,path,created,age,sessions,pv,impr,clicks_gsc,cat,title,file
A-muerta,/comparar/led-vs-bajo-consumo-vs-incandescente,2026-04-16,100,0,0,0,0,electronica,LED vs Bajo Consumo vs Incandescente 2026: Cual ahorra mas | Hace Cuen,src/content/comparaciones/led-vs-bajo-consumo-vs-incandescente.json
A-muerta,/en/daily-sodium-intake-mg-hypertension,2026-04-21,95,0,0,0,0,salud,How Much Sodium Per Day? Limits by Condition + Table | Hacé Cuentas,src/content/calcs-en/daily-sodium-intake-mg-hypertension.json
A-muerta,/en/free-fall-velocity-by-time,2026-04-21,95,0,0,0,0,ciencia,Free Fall Velocity Calculator 2026 | Hacé Cuentas,src/content/calcs-en/free-fall-velocity-by-time.json
A-muerta,/en/grass-seed-per-m2-lawn,2026-04-21,95,0,0,0,0,construccion,How Much Grass Seed Per Square Meter? Calculator,src/content/calcs-en/grass-seed-per-m2-lawn.json
A-muerta,/en/minimum-grade-pass-final-exam-average,2026-04-21,95,0,0,0,0,educacion,What Grade Do I Need to Pass? Calculator + Table | Hacé Cuentas,src/content/calcs-en/minimum-grade-pass-final-exam-average.json
A-muerta,/en/peso-posparto,2026-04-21,95,0,0,0,0,salud,How Long to Lose Baby Weight: Calculator + Timeline Table | Hacé Cuent,src/content/calcs-en/peso-posparto.json
A-muerta,/comparar/hipoteca-bancos-argentina-bbva-santander-ciudad-nacion-comparador,2026-04-23,93,0,0,0,0,finanzas,Hipoteca BBVA vs Santander vs Ciudad vs Nación 2026 — Comparador Compl,src/content/comparaciones/hipoteca-bancos-argentina-bbva-santander-ciudad-nacion-comparador.json
A-muerta,/comparar/pj-vs-clt-brasil-comparador-liquido,2026-04-23,93,0,0,0,0,fiscal,PJ vs CLT Brasil 2026 — Comparador Completo de Salário Líquido | Hacé ,src/content/comparaciones/pj-vs-clt-brasil-comparador-liquido.json
A-muerta,/comparar/simples-nacional-anexo-iii-vs-v-comparador-fator-r,2026-04-23,93,0,0,0,0,fiscal,Simples Nacional Anexo III vs V 2026 — Comparador de Fator R | Hacé Cu,src/content/comparaciones/simples-nacional-anexo-iii-vs-v-comparador-fator-r.json
A-muerta,/comparar/ahorro-jubilatorio-fci-vs-aporte-voluntario-anses,2026-04-27,89,0,0,0,0,finanzas,Ahorro jubilatorio: FCI privado vs ANSES vs USD 2026 | Hacé Cuentas,src/content/comparaciones/ahorro-jubilatorio-fci-vs-aporte-voluntario-anses.json
A-muerta,/comparar/cedears-vs-acciones-vs-fci-renta-variable,2026-04-27,89,0,0,0,0,finanzas,CEDEARs vs Acciones vs FCI Renta Variable 2026 | Hacé Cuentas,src/content/comparaciones/cedears-vs-acciones-vs-fci-renta-variable.json
A-muerta,/comparar/celiacos-trigo-vs-arroz-vs-maiz-harinas-sin-tacc,2026-04-27,89,0,0,0,0,salud,Harina arroz vs maíz vs sarraceno vs mandioca sin TACC 2026 | Hacé Cue,src/content/comparaciones/celiacos-trigo-vs-arroz-vs-maiz-harinas-sin-tacc.json
