angulo-refraccion-snell	n1,n2	Ley de Snell (refracción)
arbol-frutal-produccion-anual	cuidados	Calculadora de producción anual de árboles frutales
balanceo-ecuacion-quimica	coefConocido,coefBuscado	Calculadora de Estequiometría — Coeficientes de Reacción
calculadora-bateria-lipo-capacidad-descarga	tasaC	Calculadora de batería LiPo: capacidad, descarga y tiempo de vuelo
calculadora-densidad-aire-temperatura-humedad-altitud-aviacion	altitud	Calculadora de Densidad del Aire (Temperatura + Humedad + Altitud)
calculadora-filamento-3d-necesario-modelo	densidad	Calculadora de filamento 3D necesario para un modelo
calculadora-tela-cortinas-ventana	frunce	Calculadora de tela para cortinas por ancho de ventana
cantidad-ventanas-luz-natural-m2	factorIluminacion	Calculadora de Ventanas para Luz Natural
dilatacion-termica-longitud	coeficiente	Calculadora de Dilatación Térmica Lineal (ΔL = L₀·α·ΔT)
ecuacion-cuadratica	a,b	Ecuación cuadrática: ax² + bx + c = 0
empuje-arquimedes-volumen	rho	Empuje de Arquímedes por volumen sumergido
fuente-dc-watts-amperaje	factor	Calculadora de fuente DC — watts y amperaje necesarios
huerta-produccion-m2	experiencia	Calculadora de producción de huerta: kg esperados por m²
interes-simple-capital-tiempo-tasa	i	Interés simple
intervalo-confianza-media	confianza	Calculadora de Intervalo de Confianza para la Media
motor-dc-rpm-voltaje	kv	Calculadora de RPM de motor DC por voltaje (Kv)
ph-concentracion-hidrogeno	ph	Calculadora de pH (pH = -log[H⁺])
ph-suelo-correccion-calcio	phActual,phIdeal	pH suelo — dosis cal agrícola
ph-suelo-correccion	phActual,phDeseado	Calculadora de corrección de pH del suelo: cal o azufre
pintura-litros-m2-manos	rendimiento	Litros pintura por m² + manos
potencias-raices	exponente	Calculadora de potencias y raíces
presion-hidrostatica-profundidad	rho	Presión hidrostática por profundidad
presion-hidrostatica	densidad	Calculadora de Presión Hidrostática (P = ρ·g·h)
raid-almacenamiento-util-discos	nivelRaid	Calculadora RAID — Almacenamiento Útil según Discos
sistemas-ecuaciones	a,b,d,e	Calculadora de sistemas de ecuaciones 2×2
tamano-muestra-encuesta	confianza	Calculadora de Tamaño de Muestra para Encuestas
volumen-excavacion	factorEsponjamiento	Calculadora de Volumen de Excavación
